image_path,filename,relative_path,dataset,normalized_mos,mos_100,split,hard_false_positive,strong_hard_false_positive,manual_false_positive,missing_image,existing_combined_score,koniq_teacher_score,flive_teacher_score,mixed112_score,delta_mixed112_existing,guard_source_score_100,guard_cap_100,false_positive_margin,source_note
/home/omen_pc1/photo_score_project/data/raw/flive/blur_dataset/out_of_focus0306.jpg,out_of_focus0306.jpg,blur_dataset/out_of_focus0306.jpg,flive,0.6818997089196379,68.1899708919638,train,False,False,False,False,,,,,,,,,manifest:data/processed/topiq_replacement/mixed_112_train.csv
/home/omen_pc1/photo_score_project/data/raw/flive/voc_emotic_ava/AVA__896072.jpg,AVA__896072.jpg,voc_emotic_ava/AVA__896072.jpg,flive,0.6800494909782171,68.00494909782171,train,False,False,False,False,,,,,,,,,manifest:data/processed/topiq_replacement/mixed_112_train.csv
/home/omen_pc1/photo_score_project/data/raw/spaq/00412.jpg,00412.jpg,00412.jpg,spaq,0.6809999999999999,68.1,train,False,False,False,False,,,,,,,,,manifest:data/processed/topiq_replacement/mixed_112_train.csv
/home/omen_pc1/photo_score_project/data/raw/spaq/09406.jpg,09406.jpg,09406.jpg,spaq,0.072,7.199999999999999,train,False,False,False,False,,,,,,,,,manifest:data/processed/topiq_replacement/mixed_112_train.csv
/home/omen_pc1/photo_score_project/data/raw/flive/voc_emotic_ava/EMOTIC__COCO_val2014_000000543692.jpg,EMOTIC__COCO_val2014_000000543692.jpg,voc_emotic_ava/EMOTIC__COCO_val2014_000000543692.jpg,flive,0.7465351011408917,74.65351011408917,train,False,False,False,False,,,,,,,,,manifest:data/processed/topiq_replacement/mixed_112_train.csv
/home/omen_pc1/photo_score_project/data/raw/koniq10k/images/3310204675.jpg,3310204675.jpg,3310204675.jpg,koniq,0.310882352941176,31.0882352941176,train,False,False,False,False,,,,,,,,,manifest:data/processed/topiq_replacement/mixed_112_train.csv
/home/omen_pc1/photo_score_project/data/raw/flive/voc_emotic_ava/JPEGImages__2007_005266.jpg,JPEGImages__2007_005266.jpg,voc_emotic_ava/JPEGImages__2007_005266.jpg,flive,0.635318637362597,63.531863736259695,train,False,False,False,False,,,,,,,,,manifest:data/processed/topiq_replacement/mixed_112_train.csv
/home/omen_pc1/photo_score_project/outputs/test_vila_aesthetic_direct_compare_20260504_153044/thumbs/1675342165226-13.jpg,1675342165226-13.jpg,1675342165226-13.jpg,hard_fp,,,hard_fp,True,False,True,False,,,,,,,,5.0,manual_user_flagged
/home/omen_pc1/photo_score_project/data/raw/koniq10k/images/2255948084.jpg,2255948084.jpg,2255948084.jpg,koniq,0.748644859813084,74.8644859813084,train,False,False,False,False,,,,,,,,,manifest:data/processed/topiq_replacement/mixed_112_train.csv
/home/omen_pc1/photo_score_project/data/raw/koniq10k/images/6449745557.jpg,6449745557.jpg,6449745557.jpg,koniq,0.73785046728972,73.785046728972,train,False,False,False,False,,,,,,,,,manifest:data/processed/topiq_replacement/mixed_112_train.csv
/home/omen_pc1/photo_score_project/data/raw/spaq/09145.jpg,09145.jpg,09145.jpg,spaq,0.752,75.2,train,False,False,False,False,,,,,,,,,manifest:data/processed/topiq_replacement/mixed_112_train.csv
/home/omen_pc1/photo_score_project/data/raw/flive/voc_emotic_ava/VOC2012__2011_002512.jpg,VOC2012__2011_002512.jpg,voc_emotic_ava/VOC2012__2011_002512.jpg,flive,0.6812826820143465,68.12826820143465,train,False,False,False,False,,,,,,,,,manifest:data/processed/topiq_replacement/mixed_112_train.csv
/home/omen_pc1/photo_score_project/data/raw/spaq/09051.jpg,09051.jpg,09051.jpg,spaq,0.3419999999999999,34.19999999999999,train,False,False,False,False,,,,,,,,,manifest:data/processed/topiq_replacement/mixed_112_train.csv
/home/omen_pc1/photo_score_project/data/raw/spaq/02165.jpg,02165.jpg,02165.jpg,spaq,0.714,71.39999999999999,train,False,False,False,False,,,,,,,,,manifest:data/processed/topiq_replacement/mixed_112_train.csv
