rank,base_rank,image_path,base_score,final_score,aesthetic_component,technical_component,diversity_penalty,similarity_to_higher_ranked,most_similar_higher_ranked_image,reason_selected,missing_models,selector_notes,similarity_components_to_higher_ranked,per_model_scores
1,1,test_samples/KakaoTalk_20260330_180646779_10.jpg,0.5822185884655031,0.5822185884655031,0.5599532005114434,0.6156166703965928,0.0,,,Highest base score seeded the diversity-aware ranking.,"[""alamp_score"", ""musiq_score"", ""pairwise_recovered_score"", ""rgnet_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Diversity-aware ranking started from the strongest base-scored image.""]",null,"{""aadb_score"": 0.57666015625, ""koniq_score"": 43.03125, ""flive_image_score"": 72.5, ""flive_patch_mean"": 72.1500015258789, ""flive_patch_min"": 69.6875, ""nima_mean_score"": 5.8641557693481445}"
2,2,test_samples/KakaoTalk_20260330_180646779_11.jpg,0.5819041185558351,0.578309376734546,0.5471272346300957,0.6340694444444445,0.0035947418212891567,0.8217973709106445,test_samples/KakaoTalk_20260330_180646779_10.jpg,Selected after a diversity penalty of 0.004; the strongest similarity to a higher-ranked image was 0.822.,"[""alamp_score"", ""musiq_score"", ""pairwise_recovered_score"", ""rgnet_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Diversity penalty applied because similarity to a higher-ranked image reached 0.822.""]","{""combined"": 0.8217973709106445, ""thumbnail_similarity"": 0.9412651062011719, ""histogram_similarity"": 0.724609375, ""dhash_similarity"": 0.63671875}","{""aadb_score"": 0.54931640625, ""koniq_score"": 48.21875, ""flive_image_score"": 72.1875, ""flive_patch_mean"": 72.5625, ""flive_patch_min"": 69.5625, ""nima_mean_score"": 5.901158809661865}"
3,4,test_samples/KakaoTalk_20260330_180646779_07.jpg,0.5543420342469827,0.5543420342469827,0.5240348669198844,0.5998027852376302,0.0,0.7460650533437729,test_samples/KakaoTalk_20260330_180646779_11.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.746) stayed below the diversity threshold.,"[""alamp_score"", ""musiq_score"", ""pairwise_recovered_score"", ""rgnet_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.746.""]","{""combined"": 0.7460650533437729, ""thumbnail_similarity"": 0.971893846988678, ""histogram_similarity"": 0.2958984375, ""dhash_similarity"": 0.609375}","{""aadb_score"": 0.513671875, ""koniq_score"": 39.90625, ""flive_image_score"": 70.6875, ""flive_patch_mean"": 71.86250305175781, ""flive_patch_min"": 70.3125, ""nima_mean_score"": 5.825125217437744}"
4,5,test_samples/KakaoTalk_20260330_180646779_08.jpg,0.5386814211071047,0.5386814211071047,0.5233708895169772,0.561647218492296,0.0,0.7960894629359246,test_samples/KakaoTalk_20260330_180646779_07.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.796) stayed below the diversity threshold.,"[""alamp_score"", ""musiq_score"", ""pairwise_recovered_score"", ""rgnet_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.796.""]","{""combined"": 0.7960894629359246, ""thumbnail_similarity"": 0.9740689098834991, ""histogram_similarity"": 0.3935546875, ""dhash_similarity"": 0.7265625}","{""aadb_score"": 0.53271484375, ""koniq_score"": 35.34375, ""flive_image_score"": 63.40625, ""flive_patch_mean"": 71.0374984741211, ""flive_patch_min"": 69.9375, ""nima_mean_score"": 5.612226486206055}"
5,6,test_samples/KakaoTalk_20260330_180646779_13.jpg,0.5373358354617388,0.5373358354617388,0.5248134319598858,0.5561194407145182,0.0,0.7052028134465218,test_samples/KakaoTalk_20260330_180646779_08.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.705) stayed below the diversity threshold.,"[""alamp_score"", ""musiq_score"", ""pairwise_recovered_score"", ""rgnet_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.705.""]","{""combined"": 0.7052028134465218, ""thumbnail_similarity"": 0.8439767062664032, ""histogram_similarity"": 0.5361328125, ""dhash_similarity"": 0.53515625}","{""aadb_score"": 0.5009765625, ""koniq_score"": 32.5625, ""flive_image_score"": 62.90625, ""flive_patch_mean"": 72.7874984741211, ""flive_patch_min"": 71.0, ""nima_mean_score"": 5.973608016967773}"
6,7,test_samples/KakaoTalk_20260330_180646779.jpg,0.5281918880364833,0.5281918880364833,0.4931772183149289,0.5807138926188151,0.0,0.8050488442182541,test_samples/KakaoTalk_20260330_180646779_11.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.805) stayed below the diversity threshold.,"[""alamp_score"", ""musiq_score"", ""pairwise_recovered_score"", ""rgnet_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.805.""]","{""combined"": 0.8050488442182541, ""thumbnail_similarity"": 0.9409978985786438, ""histogram_similarity"": 0.7392578125, ""dhash_similarity"": 0.55859375}","{""aadb_score"": 0.490478515625, ""koniq_score"": 38.625, ""flive_image_score"": 66.0625, ""flive_patch_mean"": 71.7125015258789, ""flive_patch_min"": 68.9375, ""nima_mean_score"": 5.466931343078613}"
7,10,test_samples/KakaoTalk_20260330_180646779_06.jpg,0.5018631632878231,0.5018631632878231,0.4493552721463717,0.5806250000000001,0.0,0.7811427742242814,test_samples/KakaoTalk_20260330_180646779_07.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.781) stayed below the diversity threshold.,"[""alamp_score"", ""musiq_score"", ""pairwise_recovered_score"", ""rgnet_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.781.""]","{""combined"": 0.7811427742242814, ""thumbnail_similarity"": 0.9767226576805115, ""histogram_similarity"": 0.5263671875, ""dhash_similarity"": 0.5546875}","{""aadb_score"": 0.427978515625, ""koniq_score"": 37.65625, ""flive_image_score"": 67.125, ""flive_patch_mean"": 71.6875, ""flive_patch_min"": 69.375, ""nima_mean_score"": 5.268653392791748}"
8,11,test_samples/KakaoTalk_20260330_180646779_05.jpg,0.5004262481298203,0.5004262481298203,0.4672141197400216,0.5502444407145183,0.0,0.8055408954620362,test_samples/KakaoTalk_20260330_180646779_07.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.806) stayed below the diversity threshold.,"[""alamp_score"", ""musiq_score"", ""pairwise_recovered_score"", ""rgnet_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.806.""]","{""combined"": 0.8055408954620362, ""thumbnail_similarity"": 0.939051628112793, ""histogram_similarity"": 0.7177734375, ""dhash_similarity"": 0.58203125}","{""aadb_score"": 0.4482421875, ""koniq_score"": 32.1875, ""flive_image_score"": 63.40625, ""flive_patch_mean"": 71.0999984741211, ""flive_patch_min"": 69.6875, ""nima_mean_score"": 5.40413236618042}"
9,12,test_samples/KakaoTalk_20260330_180646779_09.jpg,0.49183747889852936,0.49183747889852936,0.45724394382574624,0.543727781507704,0.0,0.7804971814155579,test_samples/KakaoTalk_20260330_180646779_08.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.780) stayed below the diversity threshold.,"[""alamp_score"", ""musiq_score"", ""pairwise_recovered_score"", ""rgnet_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.780.""]","{""combined"": 0.7804971814155579, ""thumbnail_similarity"": 0.9673812389373779, ""histogram_similarity"": 0.6025390625, ""dhash_similarity"": 0.51171875}","{""aadb_score"": 0.44677734375, ""koniq_score"": 31.90625, ""flive_image_score"": 61.0625, ""flive_patch_mean"": 71.0250015258789, ""flive_patch_min"": 70.375, ""nima_mean_score"": 5.225094795227051}"
10,3,test_samples/KakaoTalk_20260330_180646779_12.jpg,0.5642565471942609,0.46432076762272756,0.5512294280223358,0.5837972259521484,0.09993577957153334,0.8699678897857667,test_samples/KakaoTalk_20260330_180646779_10.jpg,Selected after a diversity penalty of 0.100; the strongest similarity to a higher-ranked image was 0.870.,"[""alamp_score"", ""musiq_score"", ""pairwise_recovered_score"", ""rgnet_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Diversity penalty applied because similarity to a higher-ranked image reached 0.870.""]","{""combined"": 0.8699678897857667, ""thumbnail_similarity"": 0.9524984359741211, ""histogram_similarity"": 0.8955078125, ""dhash_similarity"": 0.66796875}","{""aadb_score"": 0.5712890625, ""koniq_score"": 36.09375, ""flive_image_score"": 69.0, ""flive_patch_mean"": 72.0875015258789, ""flive_patch_min"": 71.4375, ""nima_mean_score"": 5.750438690185547}"
