rank,base_rank,image_path,base_score,final_score,aesthetic_component,technical_component,diversity_penalty,similarity_to_higher_ranked,most_similar_higher_ranked_image,reason_selected,missing_models,selector_notes,similarity_components_to_higher_ranked,per_model_scores
1,1,test_samples/KakaoTalk_20260330_180646779_10.jpg,0.6009599132707957,0.6009599132707957,0.5965953474646217,0.6075067619800567,0.0,,,Highest base score seeded the diversity-aware ranking.,"[""pairwise_recovered_score"", ""rgnet_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Diversity-aware ranking started from the strongest base-scored image.""]",null,"{""aadb_score"": 0.57666015625, ""koniq_score"": 43.03125, ""flive_image_score"": 72.5, ""flive_patch_mean"": 72.1500015258789, ""flive_patch_min"": 69.6875, ""nima_mean_score"": 5.863777160644531, ""alamp_score"": 0.6832499504089355, ""musiq_score"": 0.5345175862312317}"
2,4,test_samples/KakaoTalk_20260330_180646779_07.jpg,0.5575206146250544,0.5575206146250544,0.5345822272000013,0.5919281957626343,0.0,0.7228643670678139,test_samples/KakaoTalk_20260330_180646779_10.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.723) stayed below the diversity threshold.,"[""pairwise_recovered_score"", ""rgnet_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.723.""]","{""combined"": 0.7228643670678139, ""thumbnail_similarity"": 0.9513727128505707, ""histogram_similarity"": 0.2998046875, ""dhash_similarity"": 0.55859375}","{""aadb_score"": 0.513671875, ""koniq_score"": 39.90625, ""flive_image_score"": 70.6875, ""flive_patch_mean"": 71.86250305175781, ""flive_patch_min"": 70.3125, ""nima_mean_score"": 5.824832916259766, ""alamp_score"": 0.5595477819442749, ""musiq_score"": 0.5210568904876709}"
3,3,test_samples/KakaoTalk_20260330_180646779_11.jpg,0.5579277603672647,0.5543330185459755,0.514705770993018,0.6227607444286346,0.0035947418212891567,0.8217973709106445,test_samples/KakaoTalk_20260330_180646779_10.jpg,Selected after a diversity penalty of 0.004; the strongest similarity to a higher-ranked image was 0.822.,"[""pairwise_recovered_score"", ""rgnet_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Diversity penalty applied because similarity to a higher-ranked image reached 0.822.""]","{""combined"": 0.8217973709106445, ""thumbnail_similarity"": 0.9412651062011719, ""histogram_similarity"": 0.724609375, ""dhash_similarity"": 0.63671875}","{""aadb_score"": 0.54931640625, ""koniq_score"": 48.21875, ""flive_image_score"": 72.1875, ""flive_patch_mean"": 72.5625, ""flive_patch_min"": 69.5625, ""nima_mean_score"": 5.901748180389404, ""alamp_score"": 0.4380017817020416, ""musiq_score"": 0.5209824442863464}"
4,5,test_samples/KakaoTalk_20260330_180646779_08.jpg,0.5359781457764394,0.5359781457764394,0.5242583563735894,0.5535578298807144,0.0,0.7960894629359246,test_samples/KakaoTalk_20260330_180646779_07.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.796) stayed below the diversity threshold.,"[""pairwise_recovered_score"", ""rgnet_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.796.""]","{""combined"": 0.7960894629359246, ""thumbnail_similarity"": 0.9740689098834991, ""histogram_similarity"": 0.3935546875, ""dhash_similarity"": 0.7265625}","{""aadb_score"": 0.5322265625, ""koniq_score"": 35.34375, ""flive_image_score"": 63.40625, ""flive_patch_mean"": 71.0374984741211, ""flive_patch_min"": 69.9375, ""nima_mean_score"": 5.612595081329346, ""alamp_score"": 0.5269327759742737, ""musiq_score"": 0.4807533323764801}"
5,6,test_samples/KakaoTalk_20260330_180646779_13.jpg,0.5314799071580012,0.5314799071580012,0.5194503595163157,0.5495242286205293,0.0,0.7052028134465218,test_samples/KakaoTalk_20260330_180646779_08.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.705) stayed below the diversity threshold.,"[""pairwise_recovered_score"", ""rgnet_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.705.""]","{""combined"": 0.7052028134465218, ""thumbnail_similarity"": 0.8439767062664032, ""histogram_similarity"": 0.5361328125, ""dhash_similarity"": 0.53515625}","{""aadb_score"": 0.5009765625, ""koniq_score"": 32.5625, ""flive_image_score"": 62.90625, ""flive_patch_mean"": 72.7874984741211, ""flive_patch_min"": 71.0, ""nima_mean_score"": 5.9736714363098145, ""alamp_score"": 0.5067663192749023, ""musiq_score"": 0.4901673197746277}"
6,7,test_samples/KakaoTalk_20260330_180646779.jpg,0.5221155937504124,0.5221155937504124,0.4880580026824195,0.5732019803524017,0.0,0.8050488442182541,test_samples/KakaoTalk_20260330_180646779_11.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.805) stayed below the diversity threshold.,"[""pairwise_recovered_score"", ""rgnet_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.805.""]","{""combined"": 0.8050488442182541, ""thumbnail_similarity"": 0.9409978985786438, ""histogram_similarity"": 0.7392578125, ""dhash_similarity"": 0.55859375}","{""aadb_score"": 0.490478515625, ""koniq_score"": 38.625, ""flive_image_score"": 66.0625, ""flive_patch_mean"": 71.69999694824219, ""flive_patch_min"": 68.875, ""nima_mean_score"": 5.467296123504639, ""alamp_score"": 0.4759138226509094, ""musiq_score"": 0.5066198706626892}"
7,10,test_samples/KakaoTalk_20260330_180646779_06.jpg,0.4955801908596142,0.4955801908596142,0.4449373158785674,0.5715445033311845,0.0,0.7811427742242814,test_samples/KakaoTalk_20260330_180646779_07.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.781) stayed below the diversity threshold.,"[""pairwise_recovered_score"", ""rgnet_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.781.""]","{""combined"": 0.7811427742242814, ""thumbnail_similarity"": 0.9767226576805115, ""histogram_similarity"": 0.5263671875, ""dhash_similarity"": 0.5546875}","{""aadb_score"": 0.427978515625, ""koniq_score"": 37.65625, ""flive_image_score"": 67.125, ""flive_patch_mean"": 71.6875, ""flive_patch_min"": 69.375, ""nima_mean_score"": 5.268923282623291, ""alamp_score"": 0.43446215987205505, ""musiq_score"": 0.48982003331184387}"
8,11,test_samples/KakaoTalk_20260330_180646779_05.jpg,0.4942228634579117,0.4942228634579117,0.4609268100949021,0.5441669435024261,0.0,0.8055408954620362,test_samples/KakaoTalk_20260330_180646779_07.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.806) stayed below the diversity threshold.,"[""pairwise_recovered_score"", ""rgnet_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.806.""]","{""combined"": 0.8055408954620362, ""thumbnail_similarity"": 0.939051628112793, ""histogram_similarity"": 0.7177734375, ""dhash_similarity"": 0.58203125}","{""aadb_score"": 0.4482421875, ""koniq_score"": 32.1875, ""flive_image_score"": 63.40625, ""flive_patch_mean"": 71.0999984741211, ""flive_patch_min"": 69.6875, ""nima_mean_score"": 5.403890132904053, ""alamp_score"": 0.4460952579975128, ""musiq_score"": 0.4894694685935974}"
9,12,test_samples/KakaoTalk_20260330_180646779_09.jpg,0.480561851716686,0.480561851716686,0.44345906484234443,0.5362160320281982,0.0,0.7804971814155579,test_samples/KakaoTalk_20260330_180646779_08.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.780) stayed below the diversity threshold.,"[""pairwise_recovered_score"", ""rgnet_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.780.""]","{""combined"": 0.7804971814155579, ""thumbnail_similarity"": 0.9673812389373779, ""histogram_similarity"": 0.6025390625, ""dhash_similarity"": 0.51171875}","{""aadb_score"": 0.44677734375, ""koniq_score"": 31.90625, ""flive_image_score"": 61.0625, ""flive_patch_mean"": 71.0250015258789, ""flive_patch_min"": 70.375, ""nima_mean_score"": 5.225403785705566, ""alamp_score"": 0.41083917021751404, ""musiq_score"": 0.4686102867126465}"
10,2,test_samples/KakaoTalk_20260330_180646779_12.jpg,0.5800723444304595,0.4801365648589262,0.5810543314830677,0.5785993638515472,0.09993577957153334,0.8699678897857667,test_samples/KakaoTalk_20260330_180646779_10.jpg,Selected after a diversity penalty of 0.100; the strongest similarity to a higher-ranked image was 0.870.,"[""pairwise_recovered_score"", ""rgnet_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Diversity penalty applied because similarity to a higher-ranked image reached 0.870.""]","{""combined"": 0.8699678897857667, ""thumbnail_similarity"": 0.9524984359741211, ""histogram_similarity"": 0.8955078125, ""dhash_similarity"": 0.66796875}","{""aadb_score"": 0.5712890625, ""koniq_score"": 36.09375, ""flive_image_score"": 69.0, ""flive_patch_mean"": 72.0999984741211, ""flive_patch_min"": 71.4375, ""nima_mean_score"": 5.750554084777832, ""alamp_score"": 0.6515355706214905, ""musiq_score"": 0.5315436720848083}"
