rank,base_rank,image_path,base_score,final_score,aesthetic_component,technical_component,diversity_penalty,similarity_to_higher_ranked,most_similar_higher_ranked_image,reason_selected,missing_models,selector_notes,similarity_components_to_higher_ranked,per_model_scores
1,1,test_samples/KakaoTalk_20260330_180646779_10.jpg,0.5873320634941432,0.5873320634941432,0.5738822645035342,0.6075067619800567,0.0,,,Highest base score seeded the diversity-aware ranking.,"[""pairwise_recovered_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Diversity-aware ranking started from the strongest base-scored image.""]",null,"{""aadb_score"": 0.5771484375, ""koniq_score"": 43.03125, ""flive_image_score"": 72.5, ""flive_patch_mean"": 72.1500015258789, ""flive_patch_min"": 69.6875, ""nima_mean_score"": 5.864105701446533, ""alamp_score"": 0.6831441521644592, ""musiq_score"": 0.5345175862312317, ""rgnet_score"": 0.479827344417572}"
2,3,test_samples/KakaoTalk_20260330_180646779_07.jpg,0.5527779582027766,0.5527779582027766,0.5266777998295382,0.5919281957626343,0.0,0.7228643670678139,test_samples/KakaoTalk_20260330_180646779_10.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.723) stayed below the diversity threshold.,"[""pairwise_recovered_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.723.""]","{""combined"": 0.7228643670678139, ""thumbnail_similarity"": 0.9513727128505707, ""histogram_similarity"": 0.2998046875, ""dhash_similarity"": 0.55859375}","{""aadb_score"": 0.513671875, ""koniq_score"": 39.90625, ""flive_image_score"": 70.6875, ""flive_patch_mean"": 71.86250305175781, ""flive_patch_min"": 70.3125, ""nima_mean_score"": 5.824490547180176, ""alamp_score"": 0.5594193339347839, ""musiq_score"": 0.5210568904876709, ""rgnet_score"": 0.49438953399658203}"
3,4,test_samples/KakaoTalk_20260330_180646779_11.jpg,0.5502785108284328,0.5466837690071437,0.5019570217616316,0.6227607444286346,0.0035947418212891567,0.8217973709106445,test_samples/KakaoTalk_20260330_180646779_10.jpg,Selected after a diversity penalty of 0.004; the strongest similarity to a higher-ranked image was 0.822.,"[""pairwise_recovered_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Diversity penalty applied because similarity to a higher-ranked image reached 0.822.""]","{""combined"": 0.8217973709106445, ""thumbnail_similarity"": 0.9412651062011719, ""histogram_similarity"": 0.724609375, ""dhash_similarity"": 0.63671875}","{""aadb_score"": 0.54931640625, ""koniq_score"": 48.21875, ""flive_image_score"": 72.1875, ""flive_patch_mean"": 72.5625, ""flive_patch_min"": 69.5625, ""nima_mean_score"": 5.901432514190674, ""alamp_score"": 0.4378749132156372, ""musiq_score"": 0.5209824442863464, ""rgnet_score"": 0.44974732398986816}"
4,5,test_samples/KakaoTalk_20260330_180646779_08.jpg,0.530238356744932,0.530238356744932,0.5146920413210772,0.5535578298807144,0.0,0.7960894629359246,test_samples/KakaoTalk_20260330_180646779_07.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.796) stayed below the diversity threshold.,"[""pairwise_recovered_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.796.""]","{""combined"": 0.7960894629359246, ""thumbnail_similarity"": 0.9740689098834991, ""histogram_similarity"": 0.3935546875, ""dhash_similarity"": 0.7265625}","{""aadb_score"": 0.53271484375, ""koniq_score"": 35.34375, ""flive_image_score"": 63.40625, ""flive_patch_mean"": 71.0374984741211, ""flive_patch_min"": 69.9375, ""nima_mean_score"": 5.612135887145996, ""alamp_score"": 0.5269089937210083, ""musiq_score"": 0.4807533323764801, ""rgnet_score"": 0.4747014045715332}"
5,6,test_samples/KakaoTalk_20260330_180646779_13.jpg,0.5293916859402864,0.5293916859402864,0.5159699908201245,0.5495242286205293,0.0,0.7052028134465218,test_samples/KakaoTalk_20260330_180646779_08.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.705) stayed below the diversity threshold.,"[""pairwise_recovered_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.705.""]","{""combined"": 0.7052028134465218, ""thumbnail_similarity"": 0.8439767062664032, ""histogram_similarity"": 0.5361328125, ""dhash_similarity"": 0.53515625}","{""aadb_score"": 0.5009765625, ""koniq_score"": 32.5625, ""flive_image_score"": 62.90625, ""flive_patch_mean"": 72.7874984741211, ""flive_patch_min"": 71.0, ""nima_mean_score"": 5.97371768951416, ""alamp_score"": 0.5065559148788452, ""musiq_score"": 0.4901673197746277, ""rgnet_score"": 0.5019121170043945}"
6,7,test_samples/KakaoTalk_20260330_180646779.jpg,0.5138764515657009,0.5138764515657009,0.47425775899403333,0.5733044904232024,0.0,0.8050488442182541,test_samples/KakaoTalk_20260330_180646779_11.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.805) stayed below the diversity threshold.,"[""pairwise_recovered_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.805.""]","{""combined"": 0.8050488442182541, ""thumbnail_similarity"": 0.9409978985786438, ""histogram_similarity"": 0.7392578125, ""dhash_similarity"": 0.55859375}","{""aadb_score"": 0.490478515625, ""koniq_score"": 38.625, ""flive_image_score"": 66.0625, ""flive_patch_mean"": 71.7125015258789, ""flive_patch_min"": 68.9375, ""nima_mean_score"": 5.466955661773682, ""alamp_score"": 0.47593069076538086, ""musiq_score"": 0.5066198706626892, ""rgnet_score"": 0.41755324602127075}"
7,10,test_samples/KakaoTalk_20260330_180646779_06.jpg,0.4905497768422832,0.4905497768422832,0.436553292516349,0.5715445033311845,0.0,0.7811427742242814,test_samples/KakaoTalk_20260330_180646779_07.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.781) stayed below the diversity threshold.,"[""pairwise_recovered_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.781.""]","{""combined"": 0.7811427742242814, ""thumbnail_similarity"": 0.9767226576805115, ""histogram_similarity"": 0.5263671875, ""dhash_similarity"": 0.5546875}","{""aadb_score"": 0.427978515625, ""koniq_score"": 37.65625, ""flive_image_score"": 67.125, ""flive_patch_mean"": 71.6875, ""flive_patch_min"": 69.375, ""nima_mean_score"": 5.268543720245361, ""alamp_score"": 0.4344550669193268, ""musiq_score"": 0.48982003331184387, ""rgnet_score"": 0.40215054154396057}"
8,11,test_samples/KakaoTalk_20260330_180646779_05.jpg,0.48831819938846255,0.48831819938846255,0.4510857033124869,0.5441669435024261,0.0,0.8055408954620362,test_samples/KakaoTalk_20260330_180646779_07.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.806) stayed below the diversity threshold.,"[""pairwise_recovered_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.806.""]","{""combined"": 0.8055408954620362, ""thumbnail_similarity"": 0.939051628112793, ""histogram_similarity"": 0.7177734375, ""dhash_similarity"": 0.58203125}","{""aadb_score"": 0.4482421875, ""koniq_score"": 32.1875, ""flive_image_score"": 63.40625, ""flive_patch_mean"": 71.0999984741211, ""flive_patch_min"": 69.6875, ""nima_mean_score"": 5.40400505065918, ""alamp_score"": 0.4461432695388794, ""musiq_score"": 0.4894694685935974, ""rgnet_score"": 0.41055211424827576}"
9,12,test_samples/KakaoTalk_20260330_180646779_04.jpg,0.4720824679519819,0.4720824679519819,0.4208015017751334,0.5490039172172546,0.0,0.7742603123188019,test_samples/KakaoTalk_20260330_180646779_08.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.774) stayed below the diversity threshold.,"[""pairwise_recovered_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.774.""]","{""combined"": 0.7742603123188019, ""thumbnail_similarity"": 0.9606579542160034, ""histogram_similarity"": 0.5751953125, ""dhash_similarity"": 0.5234375}","{""aadb_score"": 0.41357421875, ""koniq_score"": 34.0, ""flive_image_score"": 63.46875, ""flive_patch_mean"": 71.07499694824219, ""flive_patch_min"": 70.25, ""nima_mean_score"": 5.365360736846924, ""alamp_score"": 0.39210012555122375, ""musiq_score"": 0.47213923931121826, ""rgnet_score"": 0.3814719617366791}"
10,2,test_samples/KakaoTalk_20260330_180646779_12.jpg,0.5708681084388235,0.4709323288672902,0.5657139381636743,0.5785993638515472,0.09993577957153334,0.8699678897857667,test_samples/KakaoTalk_20260330_180646779_10.jpg,Selected after a diversity penalty of 0.100; the strongest similarity to a higher-ranked image was 0.870.,"[""pairwise_recovered_score""]","[""Final score mixes aesthetic and technical components with default project weights."", ""Diversity penalty applied because similarity to a higher-ranked image reached 0.870.""]","{""combined"": 0.8699678897857667, ""thumbnail_similarity"": 0.9524984359741211, ""histogram_similarity"": 0.8955078125, ""dhash_similarity"": 0.66796875}","{""aadb_score"": 0.5712890625, ""koniq_score"": 36.09375, ""flive_image_score"": 69.0, ""flive_patch_mean"": 72.0999984741211, ""flive_patch_min"": 71.4375, ""nima_mean_score"": 5.750246524810791, ""alamp_score"": 0.6513468623161316, ""musiq_score"": 0.5315436720848083, ""rgnet_score"": 0.5029240846633911}"
