rank,base_rank,image_path,base_score,final_score,aesthetic_component,technical_component,diversity_penalty,similarity_to_higher_ranked,most_similar_higher_ranked_image,reason_selected,missing_models,selector_notes,similarity_components_to_higher_ranked,per_model_scores
1,1,test_samples/KakaoTalk_20260330_180646779_10.jpg,0.5698630999090671,0.5698630999090671,0.5674366182088851,0.6074121323585511,0.0,,,Highest base score seeded the diversity-aware ranking.,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Top-pool rerank applied with pairwise recovered score."", ""Diversity-aware ranking started from the strongest base-scored image.""]",null,"{""aadb_score"": 0.5771484375, ""koniq_score"": 43.0, ""flive_image_score"": 72.5, ""flive_patch_mean"": 72.1500015258789, ""flive_patch_min"": 69.6875, ""nima_mean_score"": 5.863723278045654, ""alamp_score"": 0.683292806148529, ""musiq_score"": 0.5345712900161743, ""rgnet_score"": 0.479839950799942, ""pairwise_recovered_score"": 0.4930019974708557}"
2,3,test_samples/KakaoTalk_20260330_180646779_07.jpg,0.5424479736454487,0.5424479736454487,0.5240007581313452,0.5919330535411835,0.0,0.7228643670678139,test_samples/KakaoTalk_20260330_180646779_10.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.723) stayed below the diversity threshold.,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Top-pool rerank applied with pairwise recovered score."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.723.""]","{""combined"": 0.7228643670678139, ""thumbnail_similarity"": 0.9513727128505707, ""histogram_similarity"": 0.2998046875, ""dhash_similarity"": 0.55859375}","{""aadb_score"": 0.513671875, ""koniq_score"": 39.90625, ""flive_image_score"": 70.6875, ""flive_patch_mean"": 71.86250305175781, ""flive_patch_min"": 70.3125, ""nima_mean_score"": 5.825069904327393, ""alamp_score"": 0.5595348477363586, ""musiq_score"": 0.5211054682731628, ""rgnet_score"": 0.4942569434642792, ""pairwise_recovered_score"": 0.493002325296402}"
3,4,test_samples/KakaoTalk_20260330_180646779_11.jpg,0.5412736187460423,0.5376788769247531,0.5011513775587082,0.6227471307277679,0.0035947418212891567,0.8217973709106445,test_samples/KakaoTalk_20260330_180646779_10.jpg,Selected after a diversity penalty of 0.004; the strongest similarity to a higher-ranked image was 0.822.,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Top-pool rerank applied with pairwise recovered score."", ""Diversity penalty applied because similarity to a higher-ranked image reached 0.822.""]","{""combined"": 0.8217973709106445, ""thumbnail_similarity"": 0.9412651062011719, ""histogram_similarity"": 0.724609375, ""dhash_similarity"": 0.63671875}","{""aadb_score"": 0.54931640625, ""koniq_score"": 48.21875, ""flive_image_score"": 72.1875, ""flive_patch_mean"": 72.5625, ""flive_patch_min"": 69.5625, ""nima_mean_score"": 5.901391506195068, ""alamp_score"": 0.43784794211387634, ""musiq_score"": 0.5208463072776794, ""rgnet_score"": 0.4492843747138977, ""pairwise_recovered_score"": 0.49301594495773315}"
4,5,test_samples/KakaoTalk_20260330_180646779_08.jpg,0.5237332439231873,0.5237332439231873,0.5128129104773204,0.5536687017679215,0.0,0.7960894629359246,test_samples/KakaoTalk_20260330_180646779_07.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.796) stayed below the diversity threshold.,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Top-pool rerank applied with pairwise recovered score."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.796.""]","{""combined"": 0.7960894629359246, ""thumbnail_similarity"": 0.9740689098834991, ""histogram_similarity"": 0.3935546875, ""dhash_similarity"": 0.7265625}","{""aadb_score"": 0.5322265625, ""koniq_score"": 35.375, ""flive_image_score"": 63.40625, ""flive_patch_mean"": 71.0374984741211, ""flive_patch_min"": 69.9375, ""nima_mean_score"": 5.612595081329346, ""alamp_score"": 0.526892364025116, ""musiq_score"": 0.4808620512485504, ""rgnet_score"": 0.47461068630218506, ""pairwise_recovered_score"": 0.49300867319107056}"
5,6,test_samples/KakaoTalk_20260330_180646779_13.jpg,0.5229375837135315,0.5229375837135315,0.5139848053455353,0.5495726151466369,0.0,0.7052028134465218,test_samples/KakaoTalk_20260330_180646779_08.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.705) stayed below the diversity threshold.,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Top-pool rerank applied with pairwise recovered score."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.705.""]","{""combined"": 0.7052028134465218, ""thumbnail_similarity"": 0.8439767062664032, ""histogram_similarity"": 0.5361328125, ""dhash_similarity"": 0.53515625}","{""aadb_score"": 0.50048828125, ""koniq_score"": 32.5625, ""flive_image_score"": 62.9375, ""flive_patch_mean"": 72.7874984741211, ""flive_patch_min"": 71.0, ""nima_mean_score"": 5.973155975341797, ""alamp_score"": 0.506681501865387, ""musiq_score"": 0.48990118503570557, ""rgnet_score"": 0.5017795562744141, ""pairwise_recovered_score"": 0.49300429224967957}"
6,7,test_samples/KakaoTalk_20260330_180646779.jpg,0.5114992731251716,0.5114992731251716,0.47573404947916664,0.5733066063880919,0.0,0.8050488442182541,test_samples/KakaoTalk_20260330_180646779_11.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.805) stayed below the diversity threshold.,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Top-pool rerank applied with pairwise recovered score."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.805.""]","{""combined"": 0.8050488442182541, ""thumbnail_similarity"": 0.9409978985786438, ""histogram_similarity"": 0.7392578125, ""dhash_similarity"": 0.55859375}","{""aadb_score"": 0.490478515625, ""koniq_score"": 38.625, ""flive_image_score"": 66.0625, ""flive_patch_mean"": 71.7125015258789, ""flive_patch_min"": 68.9375, ""nima_mean_score"": 5.466753005981445, ""alamp_score"": 0.47590863704681396, ""musiq_score"": 0.5066410303115845, ""rgnet_score"": 0.4174799919128418, ""pairwise_recovered_score"": 0.4930044114589691}"
7,10,test_samples/KakaoTalk_20260330_180646779_06.jpg,0.4932599264621734,0.4932599264621734,0.4410720443725586,0.5715417495965958,0.0,0.7811427742242814,test_samples/KakaoTalk_20260330_180646779_07.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.781) stayed below the diversity threshold.,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Pairwise recovered score was available but not applied outside the rerank pool."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.781.""]","{""combined"": 0.7811427742242814, ""thumbnail_similarity"": 0.9767226576805115, ""histogram_similarity"": 0.5263671875, ""dhash_similarity"": 0.5546875}","{""aadb_score"": 0.427978515625, ""koniq_score"": 37.65625, ""flive_image_score"": 67.125, ""flive_patch_mean"": 71.6875, ""flive_patch_min"": 69.375, ""nima_mean_score"": 5.268690586090088, ""alamp_score"": 0.4345931112766266, ""musiq_score"": 0.48979249596595764, ""rgnet_score"": 0.4019743502140045, ""pairwise_recovered_score"": 0.49300554394721985}"
8,11,test_samples/KakaoTalk_20260330_180646779_05.jpg,0.49029743137836457,0.49029743137836457,0.4543837239344915,0.5441679925441743,0.0,0.8055408954620362,test_samples/KakaoTalk_20260330_180646779_07.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.806) stayed below the diversity threshold.,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Pairwise recovered score was available but not applied outside the rerank pool."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.806.""]","{""combined"": 0.8055408954620362, ""thumbnail_similarity"": 0.939051628112793, ""histogram_similarity"": 0.7177734375, ""dhash_similarity"": 0.58203125}","{""aadb_score"": 0.4482421875, ""koniq_score"": 32.1875, ""flive_image_score"": 63.40625, ""flive_patch_mean"": 71.0999984741211, ""flive_patch_min"": 69.6875, ""nima_mean_score"": 5.40410041809082, ""alamp_score"": 0.44593819975852966, ""musiq_score"": 0.4894799590110779, ""rgnet_score"": 0.4104772210121155, ""pairwise_recovered_score"": 0.49301162362098694}"
9,12,test_samples/KakaoTalk_20260330_180646779_04.jpg,0.47554190569877625,0.47554190569877625,0.4266287660598755,0.5489116151571274,0.0,0.7742603123188019,test_samples/KakaoTalk_20260330_180646779_08.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.774) stayed below the diversity threshold.,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Pairwise recovered score was available but not applied outside the rerank pool."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.774.""]","{""combined"": 0.7742603123188019, ""thumbnail_similarity"": 0.9606579542160034, ""histogram_similarity"": 0.5751953125, ""dhash_similarity"": 0.5234375}","{""aadb_score"": 0.41357421875, ""koniq_score"": 33.96875, ""flive_image_score"": 63.46875, ""flive_patch_mean"": 71.07499694824219, ""flive_patch_min"": 70.25, ""nima_mean_score"": 5.365757942199707, ""alamp_score"": 0.3922114670276642, ""musiq_score"": 0.4722162187099457, ""rgnet_score"": 0.3815597593784332, ""pairwise_recovered_score"": 0.49300616979599}"
10,2,test_samples/KakaoTalk_20260330_180646779_12.jpg,0.5562675329346658,0.4563317533631325,0.5599711708227795,0.5786250772953032,0.09993577957153334,0.8699678897857667,test_samples/KakaoTalk_20260330_180646779_10.jpg,Selected after a diversity penalty of 0.100; the strongest similarity to a higher-ranked image was 0.870.,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Top-pool rerank applied with pairwise recovered score."", ""Diversity penalty applied because similarity to a higher-ranked image reached 0.870.""]","{""combined"": 0.8699678897857667, ""thumbnail_similarity"": 0.9524984359741211, ""histogram_similarity"": 0.8955078125, ""dhash_similarity"": 0.66796875}","{""aadb_score"": 0.5712890625, ""koniq_score"": 36.09375, ""flive_image_score"": 69.0, ""flive_patch_mean"": 72.0999984741211, ""flive_patch_min"": 71.4375, ""nima_mean_score"": 5.750278949737549, ""alamp_score"": 0.651772677898407, ""musiq_score"": 0.5318008065223694, ""rgnet_score"": 0.5028127431869507, ""pairwise_recovered_score"": 0.49299806356430054}"
