rank,base_rank,image_path,base_score,final_score,aesthetic_component,technical_component,diversity_penalty,similarity_to_higher_ranked,most_similar_higher_ranked_image,reason_selected,missing_models,selector_notes,similarity_components_to_higher_ranked,per_model_scores
1,1,test_samples/KakaoTalk_20260330_180646779_10.jpg,0.5731670403270721,0.5731670403270721,0.5688094822565715,0.6075121323585511,0.0,,,Highest base score seeded the diversity-aware ranking.,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Top-pool rerank applied with pairwise recovered score."", ""Diversity-aware ranking started from the strongest base-scored image.""]",null,"{""aadb_score"": 0.5771484375, ""koniq_score"": 43.03125, ""flive_image_score"": 72.5, ""flive_patch_mean"": 72.1500015258789, ""flive_patch_min"": 69.6875, ""nima_mean_score"": 5.863998889923096, ""alamp_score"": 0.6832274198532104, ""musiq_score"": 0.5345712900161743, ""rgnet_score"": 0.47989189624786377, ""pairwise_recovered_score"": 0.5101338624954224}"
2,3,test_samples/KakaoTalk_20260330_180646779_07.jpg,0.5457184906847478,0.5457184906847478,0.5253765672445297,0.5919330535411835,0.0,0.7228643670678139,test_samples/KakaoTalk_20260330_180646779_10.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.723) stayed below the diversity threshold.,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Top-pool rerank applied with pairwise recovered score."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.723.""]","{""combined"": 0.7228643670678139, ""thumbnail_similarity"": 0.9513727128505707, ""histogram_similarity"": 0.2998046875, ""dhash_similarity"": 0.55859375}","{""aadb_score"": 0.513671875, ""koniq_score"": 39.90625, ""flive_image_score"": 70.6875, ""flive_patch_mean"": 71.86250305175781, ""flive_patch_min"": 70.3125, ""nima_mean_score"": 5.825387001037598, ""alamp_score"": 0.5594546794891357, ""musiq_score"": 0.5211054682731628, ""rgnet_score"": 0.4943399131298065, ""pairwise_recovered_score"": 0.5101280212402344}"
3,4,test_samples/KakaoTalk_20260330_180646779_11.jpg,0.5445448799970151,0.5409501381757259,0.5025116147597631,0.6227471307277679,0.0035947418212891567,0.8217973709106445,test_samples/KakaoTalk_20260330_180646779_10.jpg,Selected after a diversity penalty of 0.004; the strongest similarity to a higher-ranked image was 0.822.,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Top-pool rerank applied with pairwise recovered score."", ""Diversity penalty applied because similarity to a higher-ranked image reached 0.822.""]","{""combined"": 0.8217973709106445, ""thumbnail_similarity"": 0.9412651062011719, ""histogram_similarity"": 0.724609375, ""dhash_similarity"": 0.63671875}","{""aadb_score"": 0.54931640625, ""koniq_score"": 48.21875, ""flive_image_score"": 72.1875, ""flive_patch_mean"": 72.5625, ""flive_patch_min"": 69.5625, ""nima_mean_score"": 5.901082992553711, ""alamp_score"": 0.4375496506690979, ""musiq_score"": 0.5208463072776794, ""rgnet_score"": 0.44961437582969666, ""pairwise_recovered_score"": 0.5101995468139648}"
4,5,test_samples/KakaoTalk_20260330_180646779_13.jpg,0.5290375397396089,0.5290375397396089,0.5153974894682567,0.5494976151466371,0.0,0.6748106479644775,test_samples/KakaoTalk_20260330_180646779_07.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.675) stayed below the diversity threshold.,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Pairwise recovered score was available but not applied outside the rerank pool."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.675.""]","{""combined"": 0.6748106479644775, ""thumbnail_similarity"": 0.8238744735717773, ""histogram_similarity"": 0.498046875, ""dhash_similarity"": 0.48828125}","{""aadb_score"": 0.5009765625, ""koniq_score"": 32.5625, ""flive_image_score"": 62.90625, ""flive_patch_mean"": 72.7874984741211, ""flive_patch_min"": 71.0, ""nima_mean_score"": 5.972873687744141, ""alamp_score"": 0.5061802268028259, ""musiq_score"": 0.48990118503570557, ""rgnet_score"": 0.5019075870513916, ""pairwise_recovered_score"": 0.5101383924484253}"
5,6,test_samples/KakaoTalk_20260330_180646779_08.jpg,0.5270198623917103,0.5270198623917103,0.5142799892028173,0.5535687017679215,0.0,0.7960894629359246,test_samples/KakaoTalk_20260330_180646779_07.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.796) stayed below the diversity threshold.,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Top-pool rerank applied with pairwise recovered score."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.796.""]","{""combined"": 0.7960894629359246, ""thumbnail_similarity"": 0.9740689098834991, ""histogram_similarity"": 0.3935546875, ""dhash_similarity"": 0.7265625}","{""aadb_score"": 0.53271484375, ""koniq_score"": 35.34375, ""flive_image_score"": 63.40625, ""flive_patch_mean"": 71.0374984741211, ""flive_patch_min"": 69.9375, ""nima_mean_score"": 5.6111297607421875, ""alamp_score"": 0.5266713500022888, ""musiq_score"": 0.4808620512485504, ""rgnet_score"": 0.4748668372631073, ""pairwise_recovered_score"": 0.5101580619812012}"
6,7,test_samples/KakaoTalk_20260330_180646779.jpg,0.5155350020170212,0.5155350020170212,0.4770889391501745,0.5732040963172912,0.0,0.8050488442182541,test_samples/KakaoTalk_20260330_180646779_11.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.805) stayed below the diversity threshold.,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Pairwise recovered score was available but not applied outside the rerank pool."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.805.""]","{""combined"": 0.8050488442182541, ""thumbnail_similarity"": 0.9409978985786438, ""histogram_similarity"": 0.7392578125, ""dhash_similarity"": 0.55859375}","{""aadb_score"": 0.490478515625, ""koniq_score"": 38.625, ""flive_image_score"": 66.0625, ""flive_patch_mean"": 71.69999694824219, ""flive_patch_min"": 68.875, ""nima_mean_score"": 5.466844081878662, ""alamp_score"": 0.4757857620716095, ""musiq_score"": 0.5066410303115845, ""rgnet_score"": 0.41752225160598755, ""pairwise_recovered_score"": 0.5101529955863953}"
7,10,test_samples/KakaoTalk_20260330_180646779_06.jpg,0.49409905447959895,0.49409905447959895,0.4424705910682678,0.5715417495965958,0.0,0.7811427742242814,test_samples/KakaoTalk_20260330_180646779_07.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.781) stayed below the diversity threshold.,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Pairwise recovered score was available but not applied outside the rerank pool."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.781.""]","{""combined"": 0.7811427742242814, ""thumbnail_similarity"": 0.9767226576805115, ""histogram_similarity"": 0.5263671875, ""dhash_similarity"": 0.5546875}","{""aadb_score"": 0.427978515625, ""koniq_score"": 37.65625, ""flive_image_score"": 67.125, ""flive_patch_mean"": 71.6875, ""flive_patch_min"": 69.375, ""nima_mean_score"": 5.268660545349121, ""alamp_score"": 0.4346988797187805, ""musiq_score"": 0.48979249596595764, ""rgnet_score"": 0.4020032286643982, ""pairwise_recovered_score"": 0.5101415514945984}"
8,11,test_samples/KakaoTalk_20260330_180646779_05.jpg,0.4910539427614212,0.4910539427614212,0.4557612429062526,0.5439929925441742,0.0,0.8055408954620362,test_samples/KakaoTalk_20260330_180646779_07.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.806) stayed below the diversity threshold.,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Pairwise recovered score was available but not applied outside the rerank pool."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.806.""]","{""combined"": 0.8055408954620362, ""thumbnail_similarity"": 0.939051628112793, ""histogram_similarity"": 0.7177734375, ""dhash_similarity"": 0.58203125}","{""aadb_score"": 0.4482421875, ""koniq_score"": 32.15625, ""flive_image_score"": 63.375, ""flive_patch_mean"": 71.0999984741211, ""flive_patch_min"": 69.6875, ""nima_mean_score"": 5.403776168823242, ""alamp_score"": 0.44585931301116943, ""musiq_score"": 0.4894799590110779, ""rgnet_score"": 0.4106498658657074, ""pairwise_recovered_score"": 0.5101671814918518}"
9,12,test_samples/KakaoTalk_20260330_180646779_04.jpg,0.4763580939531326,0.4763580939531326,0.4279224131504694,0.5490116151571274,0.0,0.7742603123188019,test_samples/KakaoTalk_20260330_180646779_08.jpg,Selected on base score because the strongest similarity to a higher-ranked image (0.774) stayed below the diversity threshold.,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Pairwise recovered score was available but not applied outside the rerank pool."", ""Most similar higher-ranked image stayed below the diversity threshold at 0.774.""]","{""combined"": 0.7742603123188019, ""thumbnail_similarity"": 0.9606579542160034, ""histogram_similarity"": 0.5751953125, ""dhash_similarity"": 0.5234375}","{""aadb_score"": 0.41357421875, ""koniq_score"": 34.0, ""flive_image_score"": 63.46875, ""flive_patch_mean"": 71.07499694824219, ""flive_patch_min"": 70.25, ""nima_mean_score"": 5.3652753829956055, ""alamp_score"": 0.39188987016677856, ""musiq_score"": 0.4722162187099457, ""rgnet_score"": 0.38159164786338806, ""pairwise_recovered_score"": 0.5101502537727356}"
10,2,test_samples/KakaoTalk_20260330_180646779_12.jpg,0.559561624326229,0.4596258447546957,0.56139617562294,0.5786250772953032,0.09993577957153334,0.8699678897857667,test_samples/KakaoTalk_20260330_180646779_10.jpg,Selected after a diversity penalty of 0.100; the strongest similarity to a higher-ranked image was 0.870.,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Top-pool rerank applied with pairwise recovered score."", ""Diversity penalty applied because similarity to a higher-ranked image reached 0.870.""]","{""combined"": 0.8699678897857667, ""thumbnail_similarity"": 0.9524984359741211, ""histogram_similarity"": 0.8955078125, ""dhash_similarity"": 0.66796875}","{""aadb_score"": 0.5712890625, ""koniq_score"": 36.09375, ""flive_image_score"": 69.0, ""flive_patch_mean"": 72.0999984741211, ""flive_patch_min"": 71.4375, ""nima_mean_score"": 5.750571250915527, ""alamp_score"": 0.6519079804420471, ""musiq_score"": 0.5318008065223694, ""rgnet_score"": 0.5029138326644897, ""pairwise_recovered_score"": 0.5101136565208435}"
