threshold,accuracy,balanced_accuracy,f1,precision,recall,specificity,false_positive_rate,predicted_positive_ratio,tn,fp,fn,tp
0.05,0.712815486400392,0.5,0.8323319027181688,0.712815486400392,1.0,0.0,1.0,1.0,0,1172,0,2909
0.06,0.712815486400392,0.5,0.8323319027181688,0.712815486400392,1.0,0.0,1.0,1.0,0,1172,0,2909
0.07,0.712815486400392,0.5,0.8323319027181688,0.712815486400392,1.0,0.0,1.0,1.0,0,1172,0,2909
0.08,0.712815486400392,0.5,0.8323319027181688,0.712815486400392,1.0,0.0,1.0,1.0,0,1172,0,2909
0.09,0.712815486400392,0.5,0.8323319027181688,0.712815486400392,1.0,0.0,1.0,1.0,0,1172,0,2909
0.1,0.712815486400392,0.5,0.8323319027181688,0.712815486400392,1.0,0.0,1.0,1.0,0,1172,0,2909
0.11,0.712815486400392,0.5,0.8323319027181688,0.712815486400392,1.0,0.0,1.0,1.0,0,1172,0,2909
0.12,0.712815486400392,0.5,0.8323319027181688,0.712815486400392,1.0,0.0,1.0,1.0,0,1172,0,2909
0.13,0.712815486400392,0.5,0.8323319027181688,0.712815486400392,1.0,0.0,1.0,1.0,0,1172,0,2909
0.14,0.712815486400392,0.5,0.8323319027181688,0.712815486400392,1.0,0.0,1.0,1.0,0,1172,0,2909
0.15,0.712815486400392,0.5,0.8323319027181688,0.712815486400392,1.0,0.0,1.0,1.0,0,1172,0,2909
0.16,0.7130605243812791,0.5004266211604096,0.8324509944198026,0.7129901960784314,1.0,0.0008532423208191126,0.9991467576791809,0.999754962019113,1,1171,0,2909
0.17,0.7130605243812791,0.5004266211604096,0.8324509944198026,0.7129901960784314,1.0,0.0008532423208191126,0.9991467576791809,0.999754962019113,1,1171,0,2909
0.18,0.7130605243812791,0.5004266211604096,0.8324509944198026,0.7129901960784314,1.0,0.0008532423208191126,0.9991467576791809,0.999754962019113,1,1171,0,2909
0.19,0.712815486400392,0.500254740789148,0.8322839152833429,0.7129198332924737,0.9996562392574768,0.0008532423208191126,0.9991467576791809,0.9995099240382259,1,1171,1,2908
0.2,0.712815486400392,0.500254740789148,0.8322839152833429,0.7129198332924737,0.9996562392574768,0.0008532423208191126,0.9991467576791809,0.9995099240382259,1,1171,1,2908
0.21,0.712815486400392,0.5005094815782959,0.832235900372173,0.7130242825607064,0.9993124785149536,0.0017064846416382253,0.9982935153583617,0.9990198480764518,2,1170,2,2907
0.22,0.7130605243812791,0.5009361027387055,0.832355046528275,0.7131992149165849,0.9993124785149536,0.002559726962457338,0.9974402730375427,0.9987748100955648,3,1169,2,2907
0.23,0.7130605243812791,0.5009361027387055,0.832355046528275,0.7131992149165849,0.9993124785149536,0.002559726962457338,0.9974402730375427,0.9987748100955648,3,1169,2,2907
0.24,0.712815486400392,0.5007642223674439,0.8321878579610538,0.7131288343558282,0.9989687177724303,0.002559726962457338,0.9974402730375427,0.9985297721146777,3,1169,3,2906
0.25,0.712815486400392,0.5007642223674439,0.8321878579610538,0.7131288343558282,0.9989687177724303,0.002559726962457338,0.9974402730375427,0.9985297721146777,3,1169,3,2906
0.26,0.712815486400392,0.5007642223674439,0.8321878579610538,0.7131288343558282,0.9989687177724303,0.002559726962457338,0.9974402730375427,0.9985297721146777,3,1169,3,2906
0.27,0.7120803724577309,0.5002485812536591,0.8316860048703624,0.7129174852652259,0.9979374355448608,0.002559726962457338,0.9974402730375427,0.9977946581720166,3,1169,6,2903
0.28,0.7120803724577309,0.5002485812536591,0.8316860048703624,0.7129174852652259,0.9979374355448608,0.002559726962457338,0.9974402730375427,0.9977946581720166,3,1169,6,2903
0.29,0.7118353344768439,0.5000767008823975,0.8315186246418338,0.7128469663473348,0.9975936748023376,0.002559726962457338,0.9974402730375427,0.9975496201911296,3,1169,7,2902
0.3,0.712570448419505,0.5013565643636262,0.8318761645406336,0.7133726647000983,0.9975936748023376,0.005119453924914676,0.9948805460750854,0.9968145062484686,6,1166,7,2902
0.31,0.712570448419505,0.5013565643636262,0.8318761645406336,0.7133726647000983,0.9975936748023376,0.005119453924914676,0.9948805460750854,0.9968145062484686,6,1166,7,2902
0.32,0.712815486400392,0.5017831855240357,0.8319954128440367,0.7135480698303418,0.9975936748023376,0.005972696245733789,0.9940273037542662,0.9965694682675815,7,1165,7,2902
0.33,0.712815486400392,0.5020379263131837,0.8319472325781473,0.7136531365313653,0.9972499140598143,0.006825938566552901,0.9931740614334471,0.9960793923058074,8,1164,8,2901
0.34,0.7133055623621661,0.5028911686340027,0.8321858864027538,0.7140044302239724,0.9972499140598143,0.008532423208191127,0.9914675767918089,0.9955893163440334,10,1162,8,2901
0.35,0.7137956383239402,0.5037444109548218,0.8324246771879482,0.7143560699335139,0.9972499140598143,0.010238907849829351,0.9897610921501706,0.9950992403822593,12,1160,8,2901
0.36,0.7135506003430532,0.5035725305835602,0.8322571387573541,0.7142857142857143,0.9969061533172912,0.010238907849829351,0.9897610921501706,0.9948542024013722,12,1160,9,2900
0.37,0.7145307522666013,0.5055337560143465,0.8326870601752119,0.7150962012826838,0.996562392574768,0.014505119453924915,0.985494880546075,0.99338397451605,17,1155,10,2899
0.38,0.7147757902474884,0.506215117963904,0.8327586206896551,0.7153789187854851,0.9962186318322448,0.016211604095563138,0.9837883959044369,0.9926488605733889,19,1153,11,2898
0.39,0.7147757902474884,0.5067245995421998,0.8326624496837262,0.7155917963923895,0.9955311103471983,0.017918088737201365,0.9820819112627986,0.9916687086498407,21,1151,13,2896
0.4,0.7157559421710366,0.5084310841838381,0.8331415420023015,0.716299777393025,0.9955311103471983,0.021331058020477817,0.9786689419795221,0.9906885567262925,25,1147,13,2896
0.41,0.7147757902474884,0.5082530442770876,0.8323732718894009,0.7162329615861215,0.9934685458920591,0.02303754266211604,0.976962457337884,0.9887282528791963,27,1145,19,2890
0.42,0.7142857142857143,0.5084187651128603,0.8319400403574516,0.7163067758749069,0.9920935029219663,0.024744027303754267,0.9752559726962458,0.987258024993874,29,1143,23,2886
0.43,0.7145307522666013,0.5103738310081576,0.8317689530685921,0.7171314741035857,0.9900309384668271,0.030716723549488054,0.9692832764505119,0.9840725312423426,36,1136,29,2880
0.44,0.7145307522666013,0.5116475349538974,0.831525668835864,0.717673489765352,0.9883121347542111,0.03498293515358362,0.9650170648464164,0.9816221514334722,41,1131,34,2875
