threshold,accuracy,balanced_accuracy,f1,precision,recall,specificity,false_positive_rate,predicted_positive_ratio,tn,fp,fn,tp
0.05,0.7167360940945846,0.5070806793557009,0.834193918531268,0.7157272951021413,0.9996562392574768,0.014505119453924915,0.985494880546075,0.9955893163440334,17,1155,1,2908
0.06,0.7174712080372457,0.5086152836260776,0.8345055260513852,0.716362740266141,0.9993124785149536,0.017918088737201365,0.9820819112627986,0.9943641264395982,21,1151,2,2907
0.07,0.7179612839990198,0.5097232667360445,0.8346976877782566,0.7168228909718797,0.9989687177724303,0.020477815699658702,0.9795221843003413,0.99338397451605,24,1148,3,2906
0.08,0.7186963979416809,0.5112578710064212,0.8350100603621732,0.7174611015065449,0.9986249570299072,0.023890784982935155,0.9761092150170648,0.9921587846116148,28,1144,4,2905
0.09,0.7194315118843421,0.5125377344876498,0.8353702372393961,0.7179930795847751,0.9986249570299072,0.026450511945392493,0.9735494880546075,0.9914236706689536,31,1141,4,2905
0.1,0.7201666258270032,0.5138175979688785,0.8357307249712312,0.7185258471432104,0.9986249570299072,0.02901023890784983,0.9709897610921502,0.9906885567262925,34,1138,4,2905
0.11,0.7211467777505514,0.5157788233996647,0.8361646991073999,0.7193460490463215,0.998281196287384,0.033276450511945395,0.9667235494880546,0.9892183288409704,39,1133,5,2904
0.12,0.7213918157314384,0.5162054445600742,0.8362850971922248,0.7195242814667988,0.998281196287384,0.034129692832764506,0.9658703071672355,0.9889732908600833,40,1132,5,2904
0.13,0.7218818916932125,0.5170586868808934,0.8365259974074608,0.7198810114030739,0.998281196287384,0.03583617747440273,0.9641638225255973,0.9884832148983093,42,1130,5,2904
0.14,0.7226170056358736,0.5183385503621221,0.8368876080691643,0.72041677003225,0.998281196287384,0.03839590443686007,0.96160409556314,0.9877481009556481,45,1127,5,2904
0.15,0.7226170056358736,0.51859329115127,0.836840588065725,0.7205261851576074,0.9979374355448608,0.03924914675767918,0.9607508532423208,0.987258024993874,46,1126,6,2903
0.16,0.7245773094829698,0.5225157420128423,0.8377129656367311,0.7221807318894697,0.9972499140598143,0.04778156996587031,0.9522184300341296,0.9843175692232295,56,1116,8,2901
0.17,0.725312423425631,0.524050346283219,0.838029186533738,0.7228315054835494,0.9969061533172912,0.051194539249146756,0.9488054607508533,0.9830923793187945,60,1112,9,2900
0.18,0.7267826513109532,0.5271195548239722,0.8386630010128779,0.7241379310344828,0.9962186318322448,0.05802047781569966,0.9419795221843004,0.980641999509924,68,1104,11,2898
0.19,0.7272727272727273,0.5284822787230872,0.8388124547429399,0.7247247247247247,0.9955311103471983,0.06143344709897611,0.9385665529010239,0.9791717716246018,72,1100,13,2896
0.2,0.7287429551580495,0.5320609688421364,0.8393556813234654,0.7262682069311903,0.9941560673771055,0.06996587030716724,0.9300341296928327,0.9757412398921833,82,1090,17,2892
0.21,0.7294780691007106,0.5341050546908089,0.8395815170008719,0.7271583186508935,0.993124785149536,0.07508532423208192,0.9249146757679181,0.9735358980641999,88,1084,20,2889
0.22,0.7297231070815976,0.5347864166403664,0.8396569268789068,0.7274559193954659,0.9927810244070128,0.07679180887372014,0.9232081911262798,0.9728007841215388,90,1082,21,2888
0.23,0.7314383729478069,0.5380275055523812,0.8404657933042212,0.7288563494067155,0.9924372636644895,0.08361774744027303,0.9163822525597269,0.9705954422935555,98,1074,22,2887
0.24,0.7333986767949032,0.5416952156248057,0.8413994169096211,0.7304479878511769,0.9920935029219663,0.09129692832764505,0.908703071672355,0.9681450624846851,107,1065,23,2886
0.25,0.7353589806419996,0.5453629256972301,0.8423357664233577,0.7320477036285207,0.9917497421794431,0.09897610921501707,0.9010238907849829,0.9656946826758147,116,1056,24,2885
0.26,0.7365841705464347,0.5477507722884258,0.8429051585561889,0.7330960854092526,0.9914059814369199,0.10409556313993173,0.8959044368600683,0.9639794168096055,122,1050,25,2884
0.27,0.7368292085273217,0.5497058381837231,0.8427525622254759,0.733996429482275,0.9893434169817806,0.11006825938566553,0.8899317406143344,0.960793923058074,129,1043,31,2878
0.28,0.7392795883361921,0.5544815313661146,0.8438967136150235,0.736114665984131,0.9886558954967343,0.12030716723549488,0.8796928327645052,0.9573633913256555,141,1031,33,2876
0.29,0.7409948542024014,0.5579773610672774,0.8446730345334313,0.7376796714579056,0.9879683740116879,0.12798634812286688,0.8720136518771331,0.954667973535898,150,1022,35,2874
0.3,0.7424650820877235,0.5615560511863266,0.8452363422176409,0.7393096342091705,0.9865933310415951,0.13651877133105803,0.863481228668942,0.9512374418034796,160,1012,39,2870
0.31,0.745160499877481,0.5672678471074235,0.8464264619019493,0.7419104323064976,0.9852182880715022,0.1493174061433447,0.8506825938566553,0.9465817201666258,175,997,43,2866
0.32,0.745405537858368,0.5689681722135728,0.8463245082088449,0.7427310488058152,0.9834994843588862,0.15443686006825938,0.8455631399317406,0.9438863023768684,181,991,48,2861
0.33,0.7466307277628033,0.5716107595939165,0.8468601895734598,0.7439500390320063,0.9828119628738398,0.16040955631399317,0.8395904436860068,0.9416809605488851,188,984,50,2859
0.34,0.7473658417054644,0.573909586231737,0.8470553330366415,0.7450417536534447,0.981436919903747,0.16638225255972697,0.8336177474402731,0.9389855427591277,195,977,54,2855
0.35,0.7481009556481255,0.5762084128695575,0.8472511144130757,0.7461397539911018,0.9800618769336542,0.17235494880546076,0.8276450511945392,0.9362901249693703,202,970,58,2851
0.36,0.7500612594952217,0.5808950860985738,0.8480333730631704,0.7483565606100447,0.9783430732210382,0.18344709897610922,0.8165529010238908,0.9318794413134036,215,957,63,2846
0.37,0.7507963734378829,0.584467616682134,0.8480047825437155,0.7501322051824432,0.9752492265383294,0.19368600682593856,0.8063139931740614,0.9267336437147758,227,945,72,2837
0.38,0.7527566772849792,0.5894090307002982,0.8487483135961624,0.7525252525252525,0.97318666208319,0.20563139931740615,0.7943686006825939,0.921832884097035,241,931,78,2831
0.39,0.751531487380544,0.5905875551571738,0.8475187969924812,0.7532745255279337,0.9687177724303885,0.21245733788395904,0.787542662116041,0.9166870864984072,249,923,91,2818
0.4,0.7530017152658662,0.5954399492219626,0.8478720193178388,0.7557169760559591,0.9656239257476796,0.22525597269624573,0.7747440273037542,0.9108061749571184,264,908,100,2809
0.41,0.7534917912276403,0.5983311178559654,0.8477602905569006,0.7572316842389835,0.962873839807494,0.23378839590443687,0.7662116040955631,0.9063954913011517,274,898,108,2801
0.42,0.7544719431511885,0.6023302695999352,0.8478590950501061,0.7593146586891487,0.9597799931247851,0.24488054607508533,0.7551194539249146,0.9010046557216369,287,885,117,2792
0.43,0.7569223229600588,0.6086344075172144,0.848780487804878,0.76253081347576,0.9570299071845996,0.26023890784982934,0.7397610921501706,0.8946336682185739,305,867,125,2784
0.44,0.7591276647880422,0.6140024426957882,0.8496712035479431,0.7652892561983471,0.9549673427294603,0.27303754266211605,0.726962457337884,0.889487870619946,320,852,131,2778
0.45,0.7601078167115903,0.6185110760180539,0.8496852448948258,0.7677580466148723,0.9511859745617051,0.2858361774744027,0.7141638225255973,0.8831168831168831,335,837,142,2767
0.46,0.7615780445969125,0.6238729516611388,0.8499614494988434,0.7706935123042505,0.9474046063939499,0.3003412969283277,0.6996587030716723,0.876255819652046,352,820,153,2756
0.47,0.7640284244057829,0.62992234878927,0.8509518650363721,0.7739301801801802,0.9449982811962874,0.3148464163822526,0.6851535836177475,0.8703749081107571,369,803,160,2749
0.48,0.7642734623866699,0.633405859419455,0.8505282784338098,0.7760136092996881,0.940873152286009,0.32593856655290104,0.674061433447099,0.8642489585885812,382,790,172,2737
0.49,0.7640284244057829,0.6362908685179689,0.8497894244267664,0.7778412335808109,0.9364042626332073,0.3361774744027304,0.6638225255972696,0.8581230090664053,394,778,185,2724
0.5,0.7625581965204606,0.6390806981276185,0.848,0.7798615118291979,0.92918528704022,0.34897610921501704,0.6510238907849829,0.849301641754472,409,763,206,2703
0.51,0.7625581965204606,0.6429018099648378,0.8472813238770686,0.7823050058207218,0.9240288759023719,0.36177474402730375,0.6382252559726962,0.8419505023278608,424,748,221,2688
0.52,0.7652536143102181,0.6509062729882664,0.8481293595434368,0.7869961753456899,0.9195599862495702,0.3822525597269625,0.6177474402730375,0.8328840970350404,448,724,234,2675
0.53,0.764763538348444,0.6533646609263707,0.8472310630171865,0.7887407407407407,0.9150910965967687,0.3916382252559727,0.6083617747440273,0.8270031854937515,459,713,247,2662
0.54,0.7630482724822347,0.6570015733213506,0.845007212694342,0.7915915915915915,0.9061533172911653,0.40784982935153585,0.5921501706484642,0.8159764763538349,478,694,273,2636
0.55,0.7650085763293311,0.6647451360201423,0.8452477005002421,0.7965328467153284,0.9003093846682709,0.42918088737201365,0.5708191126279863,0.8056848811565793,503,669,290,2619
0.56,0.7667238421955404,0.6712978551910805,0.8455047062642,0.8007992622194897,0.8954967342729461,0.447098976109215,0.552901023890785,0.797108551825533,524,648,304,2605
0.57,0.7628032345013477,0.6723688810881142,0.841726618705036,0.8026192703461179,0.8848401512547267,0.4598976109215017,0.5401023890784983,0.7858368047047293,539,633,335,2574
0.58,0.7615780445969125,0.6763495542256173,0.8397826444920139,0.8059418457648546,0.8765898934341698,0.4761092150170648,0.5238907849829352,0.7753001715265866,558,614,359,2550
0.59,0.7608429306542515,0.6809287288947916,0.8381426202321725,0.8096763857737904,0.8686833963561361,0.4931740614334471,0.5068259385665529,0.764763538348444,578,594,382,2527
0.6,0.7574123989218329,0.6823435155343485,0.8346140995656532,0.8118297042573935,0.8587143348229632,0.5059726962457338,0.49402730375426623,0.7539818671894144,593,579,411,2498
0.61,0.7554520950747365,0.6863180291363628,0.8318733153638814,0.8156590683845392,0.8487452732897903,0.5238907849829352,0.4761092150170648,0.7417299681450625,614,558,440,2469
0.62,0.7510414114187699,0.6895927021823527,0.8268575323790048,0.8198715782358905,0.8339635613612926,0.5452218430034129,0.454778156996587,0.7250673854447439,639,533,483,2426
0.63,0.7495711835334476,0.6926372725811505,0.8246998284734134,0.8230058199246834,0.826400825025782,0.5588737201365188,0.44112627986348124,0.7157559421710366,655,517,505,2404
