rank,image_path,image_file_name,selected,status,base_score,final_score_after_rerank,vila_score_raw,vila_score_normalized_in_pool,acut_short_reason,acut_detailed_reason,acut_comparison_reason
1,test_samples/KakaoTalk_20260330_180646779.jpg,KakaoTalk_20260330_180646779.jpg,True,selected,,,,,Chosen because the combined selector score held up better than nearby alternatives.,"Ranked #1 inside the selected set without a usable final score. The selector edge was carried by the combined selector score. Compared with KakaoTalk_20260330_180646779_01.jpg, the final score was not directly comparable. The selector had no usable aesthetic or technical component scores to lean on.","Compared with KakaoTalk_20260330_180646779_01.jpg, the final score was not directly comparable."
2,test_samples/KakaoTalk_20260330_180646779_01.jpg,KakaoTalk_20260330_180646779_01.jpg,True,selected,,,,,This frame stayed above the cut on the combined selector score.,"Ranked #2 inside the selected set without a usable final score. The combined evidence stayed stronger through the combined selector score than through any single rescue factor. Compared with KakaoTalk_20260330_180646779.jpg, the final score was not directly comparable. The selector had no usable aesthetic or technical component scores to lean on.","Compared with KakaoTalk_20260330_180646779.jpg, the final score was not directly comparable. The nearby comparison with KakaoTalk_20260330_180646779_02.jpg stayed close overall."
3,test_samples/KakaoTalk_20260330_180646779_02.jpg,KakaoTalk_20260330_180646779_02.jpg,True,selected,,,,,Selected because the combined selector score stayed ahead of nearby alternatives.,"Ranked #3 inside the selected set without a usable final score. The combined evidence stayed stronger through the combined selector score than through any single rescue factor. Compared with KakaoTalk_20260330_180646779_01.jpg, the final score was not directly comparable. The selector had no usable aesthetic or technical component scores to lean on.","Compared with KakaoTalk_20260330_180646779_01.jpg, the final score was not directly comparable. The nearby comparison with KakaoTalk_20260330_180646779_03.jpg stayed close overall."
4,test_samples/KakaoTalk_20260330_180646779_03.jpg,KakaoTalk_20260330_180646779_03.jpg,True,selected,,,,,Chosen because the combined selector score held up better than nearby alternatives.,"Ranked #4 inside the selected set without a usable final score. The combined evidence stayed stronger through the combined selector score than through any single rescue factor. Compared with KakaoTalk_20260330_180646779_02.jpg, the final score was not directly comparable. The selector had no usable aesthetic or technical component scores to lean on.","Compared with KakaoTalk_20260330_180646779_02.jpg, the final score was not directly comparable. The nearby comparison with KakaoTalk_20260330_180646779_04.jpg stayed close overall."
5,test_samples/KakaoTalk_20260330_180646779_04.jpg,KakaoTalk_20260330_180646779_04.jpg,True,selected,,,,,This frame stayed above the cut on the combined selector score.,"Ranked #5 inside the selected set without a usable final score. The combined evidence stayed stronger through the combined selector score than through any single rescue factor. Compared with KakaoTalk_20260330_180646779_05.jpg, the final score was not directly comparable. The selector had no usable aesthetic or technical component scores to lean on.","Compared with KakaoTalk_20260330_180646779_05.jpg, the final score was not directly comparable. The nearby comparison with KakaoTalk_20260330_180646779_03.jpg stayed close overall."
6,test_samples/KakaoTalk_20260330_180646779_05.jpg,KakaoTalk_20260330_180646779_05.jpg,False,rejected,,,,,The frame fell short once weaker supporting cues gave higher-ranked images the edge.,"Ranked #6 outside the selected set without a usable final score. The selector never found enough support beyond weaker supporting cues to close the gap. Compared with KakaoTalk_20260330_180646779_04.jpg, the final score was not directly comparable. The selector had no usable aesthetic or technical component scores to lean on.","Compared with KakaoTalk_20260330_180646779_04.jpg, the final score was not directly comparable. The nearby comparison with KakaoTalk_20260330_180646779_06.jpg remained close overall."
7,test_samples/KakaoTalk_20260330_180646779_06.jpg,KakaoTalk_20260330_180646779_06.jpg,False,rejected,,,,,Rejected because the combined selector score could not recover weaker weaker supporting cues against nearby options.,"Ranked #7 outside the selected set without a usable final score. The comparison deficit stayed concentrated in weaker supporting cues, which the higher-ranked set handled better. Compared with KakaoTalk_20260330_180646779_05.jpg, the final score was not directly comparable. The selector had no usable aesthetic or technical component scores to lean on.","Compared with KakaoTalk_20260330_180646779_05.jpg, the final score was not directly comparable. The nearby comparison with KakaoTalk_20260330_180646779_07.jpg remained close overall."
8,test_samples/KakaoTalk_20260330_180646779_07.jpg,KakaoTalk_20260330_180646779_07.jpg,False,rejected,,,,,It missed the A-cut because weaker supporting cues lagged behind the selected set.,"Ranked #8 outside the selected set without a usable final score. Nearby competitors kept more complete support than this frame on the deciding cues. Compared with KakaoTalk_20260330_180646779_06.jpg, the final score was not directly comparable. The selector had no usable aesthetic or technical component scores to lean on.","Compared with KakaoTalk_20260330_180646779_06.jpg, the final score was not directly comparable. The nearby comparison with KakaoTalk_20260330_180646779_08.jpg remained close overall."
9,test_samples/KakaoTalk_20260330_180646779_08.jpg,KakaoTalk_20260330_180646779_08.jpg,False,rejected,,,,,The frame fell short once weaker supporting cues gave higher-ranked images the edge.,"Ranked #9 outside the selected set without a usable final score. The selector never found enough support beyond weaker supporting cues to close the gap. Compared with KakaoTalk_20260330_180646779_07.jpg, the final score was not directly comparable. The selector had no usable aesthetic or technical component scores to lean on.","Compared with KakaoTalk_20260330_180646779_07.jpg, the final score was not directly comparable. The nearby comparison with KakaoTalk_20260330_180646779_09.jpg remained close overall."
10,test_samples/KakaoTalk_20260330_180646779_09.jpg,KakaoTalk_20260330_180646779_09.jpg,False,rejected,,,,,Rejected because the combined selector score could not recover weaker weaker supporting cues against nearby options.,"Ranked #10 outside the selected set without a usable final score. The selector never found enough support beyond weaker supporting cues to close the gap. Compared with KakaoTalk_20260330_180646779_08.jpg, the final score was not directly comparable. The selector had no usable aesthetic or technical component scores to lean on.","Compared with KakaoTalk_20260330_180646779_08.jpg, the final score was not directly comparable. The nearby comparison with KakaoTalk_20260330_180646779_10.jpg remained close overall."
