candidate_id,image_path,image_file_name,dataset_source,selection_band,selection_state,aesthetic_signal,nima_unit_score,rgnet_score,alamp_score,weighted_aesthetic_score,balanced_comparison_score,primary_rank,primary_rank_percentile,source_split,ava_mean_score,aadb_score
gemini__300__0__ava__rejected_low__330730.jpg__27e5fee514,/home/omen_pc1/ava/images/330730.jpg,330730.jpg,ava,rejected_low,not_selected,weak,0.448695,0.498291,0.385343,0.436857,0.445672,2368,0.789,train,4.970833,
gemini__300__1__ava__middle_near_miss__704237.jpg__403e1aef48,/home/omen_pc1/ava/images/704237.jpg,704237.jpg,ava,middle_near_miss,near_miss,medium,0.451238,0.580045,0.476045,0.515164,0.519124,1213,0.404,test,4.304348,
gemini__300__2__ava__middle_near_miss__949665.jpg__2ff66f5097,/home/omen_pc1/ava/images/949665.jpg,949665.jpg,ava,middle_near_miss,near_miss,medium,0.508628,0.511695,0.486684,0.498883,0.501231,1461,0.4866666666666667,train,7.042254,
gemini__300__3__ava__rejected_low__614982.jpg__e8482ec24e,/home/omen_pc1/ava/images/614982.jpg,614982.jpg,ava,rejected_low,not_selected,weak,0.517938,0.470284,0.396798,0.438306,0.448038,2351,0.7833333333333333,train,5.066667,
gemini__300__4__aadb__selected_high__farm1_338_20320769242_7145a81a88_b.jpg__0d63e3260c,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_338_20320769242_7145a81a88_b.jpg,farm1_338_20320769242_7145a81a88_b.jpg,aadb,selected_high,selected,strong,0.504726,0.625068,0.644502,0.622751,0.61479,265,0.088,train,,0.65
gemini__300__5__ava__middle_near_miss__539160.jpg__81a2b19c77,/home/omen_pc1/ava/images/539160.jpg,539160.jpg,ava,middle_near_miss,near_miss,medium,0.543575,0.418385,0.479016,0.46122,0.461416,2041,0.68,train,5.737288,
gemini__300__6__aadb__selected_high__farm1_380_19934404360_a4d467f09f_b.jpg__fca017beae,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_380_19934404360_a4d467f09f_b.jpg,farm1_380_19934404360_a4d467f09f_b.jpg,aadb,selected_high,selected,strong,0.530802,0.68092,0.585355,0.618126,0.620176,285,0.09466666666666666,train,,0.75
gemini__300__7__aadb__middle_near_miss__farm1_531_19655558454_08c02c01ef_b.jpg__1a5b3d70d3,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_531_19655558454_08c02c01ef_b.jpg,farm1_531_19655558454_08c02c01ef_b.jpg,aadb,middle_near_miss,near_miss,medium,0.510713,0.530922,0.425792,0.476336,0.485839,1783,0.594,train,,0.35
gemini__300__8__ava__selected_high__303425.jpg__4d55fc4da4,/home/omen_pc1/ava/images/303425.jpg,303425.jpg,ava,selected_high,selected,strong,0.593029,0.659845,0.586634,0.616558,0.620538,288,0.09566666666666666,train,5.54067,
gemini__300__9__ava__middle_near_miss__198488.jpg__636ae4de37,/home/omen_pc1/ava/images/198488.jpg,198488.jpg,ava,middle_near_miss,near_miss,medium,0.475521,0.508634,0.42137,0.461691,0.468761,2030,0.6763333333333333,test,5.302789,
gemini__300__10__aadb__selected_high__farm1_382_20167698421_6f737eca77_b.jpg__db9b7ecb76,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_382_20167698421_6f737eca77_b.jpg,farm1_382_20167698421_6f737eca77_b.jpg,aadb,selected_high,selected,strong,0.523086,0.574288,0.544731,0.554389,0.554785,757,0.252,val,,0.85
gemini__300__11__ava__rejected_low__600554.jpg__2dfe91fac3,/home/omen_pc1/ava/images/600554.jpg,600554.jpg,ava,rejected_low,not_selected,weak,0.529054,0.476635,0.333428,0.410273,0.427215,2650,0.883,train,5.464052,
gemini__300__12__ava__selected_high__686518.jpg__f3959d5a11,/home/omen_pc1/ava/images/686518.jpg,686518.jpg,ava,selected_high,selected,strong,0.5881,0.497785,0.684761,0.600305,0.586123,392,0.13033333333333333,test,5.921429,
gemini__300__13__ava__selected_high__909939.jpg__0f309ef9d2,/home/omen_pc1/ava/images/909939.jpg,909939.jpg,ava,selected_high,selected,strong,0.551117,0.488271,0.617816,0.559328,0.549516,705,0.23466666666666666,train,6.302817,
gemini__300__14__ava__middle_near_miss__118047.jpg__228f88dd26,/home/omen_pc1/ava/images/118047.jpg,118047.jpg,ava,middle_near_miss,near_miss,medium,0.51047,0.39779,0.564164,0.492245,0.481242,1540,0.513,train,5.26,
gemini__300__15__ava__middle_near_miss__80340.jpg__fca6dee193,/home/omen_pc1/ava/images/80340.jpg,80340.jpg,ava,middle_near_miss,near_miss,medium,0.581863,0.517431,0.416544,0.473431,0.486741,1832,0.6103333333333333,train,5.98,
gemini__300__16__aadb__middle_near_miss__farm1_420_20202994131_c7e499327e_b.jpg__278b58c780,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_420_20202994131_c7e499327e_b.jpg,farm1_420_20202994131_c7e499327e_b.jpg,aadb,middle_near_miss,near_miss,medium,0.514067,0.368248,0.601705,0.499558,0.483504,1452,0.4836666666666667,val,,0.8
gemini__300__17__ava__rejected_low__412040.jpg__6f88a7ad6b,/home/omen_pc1/ava/images/412040.jpg,412040.jpg,ava,rejected_low,not_selected,weak,0.499448,0.402383,0.322359,0.372078,0.384933,2882,0.9603333333333334,train,5.728155,
gemini__300__18__aadb__selected_high__farm1_323_20070972611_87a35c10bd_b.jpg__23b8d6da34,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_323_20070972611_87a35c10bd_b.jpg,farm1_323_20070972611_87a35c10bd_b.jpg,aadb,selected_high,selected,strong,0.536844,0.60386,0.553003,0.57173,0.573465,603,0.20066666666666666,train,,0.75
gemini__300__19__ava__rejected_low__197848.jpg__98819a623a,/home/omen_pc1/ava/images/197848.jpg,197848.jpg,ava,rejected_low,not_selected,weak,0.509149,0.50801,0.403432,0.455835,0.46635,2122,0.707,train,4.483333,
gemini__300__20__ava__middle_near_miss__573673.jpg__8de8226de6,/home/omen_pc1/ava/images/573673.jpg,573673.jpg,ava,middle_near_miss,near_miss,medium,0.526103,0.518483,0.553914,0.536961,0.533798,924,0.30766666666666664,train,5.508108,
gemini__300__21__ava__selected_high__702991.jpg__fb263d5b7f,/home/omen_pc1/ava/images/702991.jpg,702991.jpg,ava,selected_high,selected,strong,0.485007,0.519627,0.57175,0.542226,0.535283,876,0.2916666666666667,test,4.152543,
gemini__300__22__ava__rejected_low__476031.jpg__2e956e4fa0,/home/omen_pc1/ava/images/476031.jpg,476031.jpg,ava,rejected_low,not_selected,weak,0.559738,0.480383,0.403727,0.449991,0.461624,2211,0.7366666666666667,test,5.861751,
gemini__300__23__ava__selected_high__479728.jpg__be3f8cbf97,/home/omen_pc1/ava/images/479728.jpg,479728.jpg,ava,selected_high,selected,strong,0.539609,0.669081,0.513312,0.578249,0.587353,542,0.18033333333333335,train,5.842593,
gemini__300__24__ava__middle_near_miss__67735.jpg__82fd601f02,/home/omen_pc1/ava/images/67735.jpg,67735.jpg,ava,middle_near_miss,near_miss,medium,0.463992,0.534978,0.486849,0.503815,0.505078,1376,0.4583333333333333,train,4.955801,
gemini__300__25__aadb__selected_high__farm1_336_20098788632_935ec08a26_b.jpg__cd4951fc22,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_336_20098788632_935ec08a26_b.jpg,farm1_336_20098788632_935ec08a26_b.jpg,aadb,selected_high,selected,strong,0.483447,0.526579,0.591699,0.554826,0.546157,749,0.24933333333333332,train,,0.8
gemini__300__26__ava__rejected_low__387880.jpg__1f3e37a755,/home/omen_pc1/ava/images/387880.jpg,387880.jpg,ava,rejected_low,not_selected,weak,0.502894,0.426121,0.356277,0.398876,0.409699,2735,0.9113333333333333,train,6.773399,
gemini__300__27__ava__rejected_low__682418.jpg__a433a98478,/home/omen_pc1/ava/images/682418.jpg,682418.jpg,ava,rejected_low,not_selected,weak,0.492357,0.382563,0.348519,0.37652,0.385414,2865,0.9546666666666667,train,4.791045,
gemini__300__28__ava__rejected_low__345828.jpg__ddcd3942f4,/home/omen_pc1/ava/images/345828.jpg,345828.jpg,ava,rejected_low,not_selected,weak,0.478233,0.485417,0.415008,0.449494,0.456176,2215,0.738,train,2.74183,
gemini__300__29__aadb__middle_near_miss__farm1_310_19968652520_4c93f62260_b.jpg__4a430cf808,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_310_19968652520_4c93f62260_b.jpg,farm1_310_19968652520_4c93f62260_b.jpg,aadb,middle_near_miss,near_miss,medium,0.573452,0.57745,0.456429,0.51654,0.528442,1200,0.39966666666666667,val,,0.6
