candidate_id,image_path,image_file_name,dataset_source,selection_band,selection_state,aesthetic_signal,nima_unit_score,rgnet_score,alamp_score,weighted_aesthetic_score,balanced_comparison_score,primary_rank,primary_rank_percentile,source_split,ava_mean_score,aadb_score
gemini__1000__0__ava__rejected_low__582213.jpg__29bf13e04f,/home/omen_pc1/ava/images/582213.jpg,582213.jpg,ava,rejected_low,not_selected,weak,0.515881,0.489557,0.400946,0.447884,0.458061,2237,0.7453333333333333,train,5.538071,
gemini__1000__1__aadb__middle_near_miss__farm1_386_19479871093_5fa550e506_b.jpg__021b3ba0f4,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_386_19479871093_5fa550e506_b.jpg,farm1_386_19479871093_5fa550e506_b.jpg,aadb,middle_near_miss,near_miss,medium,0.471989,0.437654,0.493297,0.468909,0.465061,1915,0.638,train,,0.45
gemini__1000__2__ava__selected_high__599778.jpg__c815bf7057,/home/omen_pc1/ava/images/599778.jpg,599778.jpg,ava,selected_high,selected,strong,0.598646,0.615039,0.593077,0.602419,0.603795,381,0.12666666666666668,train,6.527778,
gemini__1000__3__aadb__middle_near_miss__farm1_369_19535030033_325b50abb2_b.jpg__90317d68b4,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_369_19535030033_325b50abb2_b.jpg,farm1_369_19535030033_325b50abb2_b.jpg,aadb,middle_near_miss,near_miss,medium,0.507181,0.559737,0.368777,0.459001,0.47547,2068,0.689,test,,0.4
gemini__1000__4__ava__rejected_low__502509.jpg__33cb764cfc,/home/omen_pc1/ava/images/502509.jpg,502509.jpg,ava,rejected_low,not_selected,weak,0.557064,0.37491,0.429207,0.420274,0.423952,2555,0.8513333333333334,train,5.670588,
gemini__1000__5__ava__middle_near_miss__802432.jpg__b4703d9a6e,/home/omen_pc1/ava/images/802432.jpg,802432.jpg,ava,middle_near_miss,near_miss,medium,0.592329,0.553319,0.513536,0.537328,0.543257,921,0.30666666666666664,train,4.888,
gemini__1000__6__aadb__selected_high__farm1_562_19581745514_948e5813ff_b.jpg__1ef7c76d2e,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_562_19581745514_948e5813ff_b.jpg,farm1_562_19581745514_948e5813ff_b.jpg,aadb,selected_high,selected,strong,0.476122,0.559891,0.642975,0.593056,0.580559,439,0.146,train,,0.5
gemini__1000__7__ava__rejected_low__514117.jpg__af0293d809,/home/omen_pc1/ava/images/514117.jpg,514117.jpg,ava,rejected_low,not_selected,weak,0.536921,0.35159,0.442995,0.415826,0.415952,2598,0.8656666666666667,val,5.220183,
gemini__1000__8__ava__middle_near_miss__455020.jpg__ed97b916e6,/home/omen_pc1/ava/images/455020.jpg,455020.jpg,ava,middle_near_miss,near_miss,medium,0.541703,0.479717,0.460146,0.47613,0.481187,1789,0.596,train,5.067114,
gemini__1000__9__ava__selected_high__779780.jpg__c08d974e68,/home/omen_pc1/ava/images/779780.jpg,779780.jpg,ava,selected_high,selected,strong,0.508946,0.635208,0.590691,0.600323,0.598462,391,0.13,train,6.011561,
gemini__1000__10__aadb__middle_near_miss__farm1_424_20331808921_6c7ef9a9e8_b.jpg__b0de4ac6ec,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_424_20331808921_6c7ef9a9e8_b.jpg,farm1_424_20331808921_6c7ef9a9e8_b.jpg,aadb,middle_near_miss,near_miss,medium,0.436718,0.51029,0.467265,0.48142,0.482044,1686,0.5616666666666666,train,,0.5
gemini__1000__11__ava__middle_near_miss__800887.jpg__a92af5fa23,/home/omen_pc1/ava/images/800887.jpg,800887.jpg,ava,middle_near_miss,near_miss,medium,0.529162,0.55824,0.484786,0.518605,0.524497,1176,0.39166666666666666,train,5.426966,
gemini__1000__12__ava__rejected_low__600554.jpg__a6a574f026,/home/omen_pc1/ava/images/600554.jpg,600554.jpg,ava,rejected_low,not_selected,weak,0.529054,0.476635,0.333428,0.410273,0.427215,2650,0.883,train,5.464052,
gemini__1000__13__ava__selected_high__934135.jpg__54d06afede,/home/omen_pc1/ava/images/934135.jpg,934135.jpg,ava,selected_high,selected,strong,0.534383,0.588634,0.594434,0.586109,0.582816,482,0.16033333333333333,val,5.571429,
gemini__1000__14__aadb__selected_high__farm1_460_20167259051_cf5937f9b6_b.jpg__676b2c3d87,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_460_20167259051_cf5937f9b6_b.jpg,farm1_460_20167259051_cf5937f9b6_b.jpg,aadb,selected_high,selected,strong,0.520654,0.60906,0.529056,0.560217,0.563797,700,0.233,train,,0.75
gemini__1000__15__aadb__middle_near_miss__farm1_299_19537238303_8d204921a1_b.jpg__423b486231,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_299_19537238303_8d204921a1_b.jpg,farm1_299_19537238303_8d204921a1_b.jpg,aadb,middle_near_miss,near_miss,medium,0.5251,0.52429,0.521137,0.522795,0.52315,1110,0.36966666666666664,train,,0.35
gemini__1000__16__ava__selected_high__439818.jpg__826bc48a24,/home/omen_pc1/ava/images/439818.jpg,439818.jpg,ava,selected_high,selected,strong,0.522922,0.67956,0.594081,0.621157,0.621873,275,0.09133333333333334,train,5.923077,
gemini__1000__17__ava__middle_near_miss__769970.jpg__71c49f5c97,/home/omen_pc1/ava/images/769970.jpg,769970.jpg,ava,middle_near_miss,near_miss,medium,0.456414,0.530112,0.461035,0.488204,0.491426,1596,0.5316666666666666,train,5.177778,
