candidate_id,image_path,image_file_name,dataset_source,selection_band,selection_state,aesthetic_signal,nima_unit_score,rgnet_score,alamp_score,weighted_aesthetic_score,balanced_comparison_score,primary_rank,primary_rank_percentile,source_split,ava_mean_score,aadb_score
gemini__3000__0__aadb__selected_high__farm1_289_20020778848_9bb8e60b74_b.jpg__97bb7a6d19,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_289_20020778848_9bb8e60b74_b.jpg,farm1_289_20020778848_9bb8e60b74_b.jpg,aadb,selected_high,selected,strong,0.478692,0.579581,0.624537,0.59197,0.58243,444,0.14766666666666667,val,,0.6
gemini__3000__1__ava__selected_high__428779.jpg__0611ecc51d,/home/omen_pc1/ava/images/428779.jpg,428779.jpg,ava,selected_high,selected,strong,0.489153,0.599833,0.51376,0.545728,0.548802,849,0.2826666666666667,train,4.953488,
gemini__3000__2__ava__selected_high__800733.jpg__c568f393aa,/home/omen_pc1/ava/images/800733.jpg,800733.jpg,ava,selected_high,selected,strong,0.538839,0.627902,0.524308,0.567199,0.573105,635,0.21133333333333335,train,5.183824,
gemini__3000__3__aadb__selected_high__farm1_277_19438344653_3dd653cfdf_b.jpg__e0fb612687,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_277_19438344653_3dd653cfdf_b.jpg,farm1_277_19438344653_3dd653cfdf_b.jpg,aadb,selected_high,selected,strong,0.547507,0.576495,0.55069,0.560694,0.561825,697,0.232,train,,0.85
gemini__3000__4__ava__middle_near_miss__6136.jpg__15ad72eeda,/home/omen_pc1/ava/images/6136.jpg,6136.jpg,ava,middle_near_miss,near_miss,medium,0.499177,0.533314,0.418474,0.47248,0.482257,1850,0.6163333333333333,val,6.098591,
gemini__3000__5__ava__middle_near_miss__232637.jpg__82029bdc19,/home/omen_pc1/ava/images/232637.jpg,232637.jpg,ava,middle_near_miss,near_miss,medium,0.490349,0.521753,0.421072,0.468272,0.47677,1927,0.642,train,5.915825,
gemini__3000__6__aadb__middle_near_miss__farm1_335_19915376919_d2d3da90a3_b.jpg__24ac4ba472,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_335_19915376919_d2d3da90a3_b.jpg,farm1_335_19915376919_d2d3da90a3_b.jpg,aadb,middle_near_miss,near_miss,medium,0.51533,0.526609,0.450043,0.487198,0.494291,1609,0.536,train,,0.45
gemini__3000__7__ava__selected_high__252135.jpg__8824d3c735,/home/omen_pc1/ava/images/252135.jpg,252135.jpg,ava,selected_high,selected,strong,0.595214,0.637733,0.787053,0.708141,0.691083,58,0.019,train,6.449275,
gemini__3000__8__aadb__middle_near_miss__farm1_308_19988642232_cc71203981_b.jpg__43b34276f8,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_308_19988642232_cc71203981_b.jpg,farm1_308_19988642232_cc71203981_b.jpg,aadb,middle_near_miss,near_miss,medium,0.515961,0.453514,0.543431,0.504717,0.498848,1359,0.45266666666666666,train,,0.55
gemini__3000__9__ava__rejected_low__640639.jpg__ac4f9bdbd3,/home/omen_pc1/ava/images/640639.jpg,640639.jpg,ava,rejected_low,not_selected,weak,0.558082,0.427895,0.422373,0.438153,0.445214,2353,0.784,train,5.589928,
