candidate_id,image_path,image_file_name,dataset_source,selection_band,selection_state,aesthetic_signal,nima_unit_score,rgnet_score,alamp_score,weighted_aesthetic_score,balanced_comparison_score,primary_rank,primary_rank_percentile,source_split,ava_mean_score,aadb_score
gemini__20__0__aadb__middle_near_miss__farm1_310_20062504052_b162f70dec_b.jpg__3df08b2e95,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_310_20062504052_b162f70dec_b.jpg,farm1_310_20062504052_b162f70dec_b.jpg,aadb,middle_near_miss,near_miss,medium,0.520096,0.507841,0.491409,0.50085,0.503106,1427,0.47533333333333333,train,,0.3
gemini__20__1__aadb__selected_high__farm4_3780_19553346993_23b017e6b8_b.jpg__98ed38a106,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm4_3780_19553346993_23b017e6b8_b.jpg,farm4_3780_19553346993_23b017e6b8_b.jpg,aadb,selected_high,selected,strong,0.474025,0.532643,0.560086,0.540503,0.534828,890,0.29633333333333334,train,,0.65
gemini__20__2__ava__rejected_low__108286.jpg__aa0bcc309a,/home/omen_pc1/ava/images/108286.jpg,108286.jpg,ava,rejected_low,not_selected,weak,0.457265,0.554419,0.372973,0.453981,0.467268,2153,0.7173333333333334,train,4.177936,
gemini__20__3__ava__middle_near_miss__289019.jpg__98209b9d52,/home/omen_pc1/ava/images/289019.jpg,289019.jpg,ava,middle_near_miss,near_miss,medium,0.585877,0.508003,0.47078,0.497179,0.504795,1479,0.49266666666666664,train,5.806035,
gemini__20__4__ava__middle_near_miss__318129.jpg__33b4849e1b,/home/omen_pc1/ava/images/318129.jpg,318129.jpg,ava,middle_near_miss,near_miss,medium,0.502974,0.524081,0.432986,0.476423,0.484477,1781,0.5933333333333334,train,4.353175,
gemini__20__5__ava__middle_near_miss__905212.jpg__5c96df41b5,/home/omen_pc1/ava/images/905212.jpg,905212.jpg,ava,middle_near_miss,near_miss,medium,0.518264,0.448589,0.578123,0.520324,0.510854,1147,0.382,train,4.993902,
gemini__20__6__ava__middle_near_miss__251358.jpg__6ddd63b092,/home/omen_pc1/ava/images/251358.jpg,251358.jpg,ava,middle_near_miss,near_miss,medium,0.547228,0.518231,0.504753,0.514392,0.517189,1226,0.4083333333333333,train,5.855263,
gemini__20__7__aadb__rejected_low__farm1_291_20282188755_267821a9d9_b.jpg__4023c1487d,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_291_20282188755_267821a9d9_b.jpg,farm1_291_20282188755_267821a9d9_b.jpg,aadb,rejected_low,not_selected,weak,0.503603,0.507455,0.394839,0.450762,0.461831,2203,0.734,train,,0.75
gemini__20__8__aadb__rejected_low__farm1_387_20196562681_21917947e5_b.jpg__6720571b58,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_387_20196562681_21917947e5_b.jpg,farm1_387_20196562681_21917947e5_b.jpg,aadb,rejected_low,not_selected,weak,0.5139,0.455718,0.396205,0.43178,0.44064,2424,0.8076666666666666,train,,0.4
gemini__20__9__aadb__selected_high__farm1_312_20202777095_9ba3d5187b_b.jpg__cdff10908f,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_312_20202777095_9ba3d5187b_b.jpg,farm1_312_20202777095_9ba3d5187b_b.jpg,aadb,selected_high,selected,strong,0.475758,0.653043,0.581378,0.599482,0.597784,397,0.132,train,,0.125
gemini__20__10__ava__rejected_low__940519.jpg__2478f43954,/home/omen_pc1/ava/images/940519.jpg,940519.jpg,ava,rejected_low,not_selected,weak,0.525556,0.422755,0.401966,0.422641,0.42986,2529,0.8426666666666667,train,5.496815,
gemini__20__11__aadb__middle_near_miss__farm1_358_19972029900_bc1aee715d_b.jpg__dee593d7cd,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_358_19972029900_bc1aee715d_b.jpg,farm1_358_19972029900_bc1aee715d_b.jpg,aadb,middle_near_miss,near_miss,medium,0.497457,0.407313,0.488277,0.456809,0.45322,2098,0.699,train,,0.4
gemini__20__12__ava__rejected_low__58037.jpg__9c7e0f5348,/home/omen_pc1/ava/images/58037.jpg,58037.jpg,ava,rejected_low,not_selected,weak,0.502257,0.566275,0.359475,0.456473,0.473952,2106,0.7016666666666667,train,4.231707,
gemini__20__13__aadb__middle_near_miss__farm1_324_20104961615_2c73ba70b6_b.jpg__0a3269a54a,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_324_20104961615_2c73ba70b6_b.jpg,farm1_324_20104961615_2c73ba70b6_b.jpg,aadb,middle_near_miss,near_miss,medium,0.498693,0.437287,0.496649,0.473109,0.470243,1838,0.6123333333333333,train,,0.4
gemini__20__14__ava__rejected_low__9593.jpg__d6f43a7838,/home/omen_pc1/ava/images/9593.jpg,9593.jpg,ava,rejected_low,not_selected,weak,0.519362,0.476198,0.32279,0.40381,0.421309,2701,0.9,train,5.154255,
gemini__20__15__ava__middle_near_miss__595105.jpg__c5600097bd,/home/omen_pc1/ava/images/595105.jpg,595105.jpg,ava,middle_near_miss,near_miss,medium,0.495113,0.473844,0.474267,0.476182,0.477204,1787,0.5953333333333334,test,5.782609,
gemini__20__16__ava__selected_high__532277.jpg__085177d147,/home/omen_pc1/ava/images/532277.jpg,532277.jpg,ava,selected_high,selected,strong,0.529922,0.614465,0.539298,0.568427,0.571717,624,0.20766666666666667,train,5.741259,
gemini__20__17__ava__selected_high__488995.jpg__a0cb9defeb,/home/omen_pc1/ava/images/488995.jpg,488995.jpg,ava,selected_high,selected,strong,0.568615,0.603721,0.500439,0.548569,0.557142,824,0.2743333333333333,train,5.516556,
