id,dataset_source,source_split,source_metadata_csv,source_image_path,image_path,image_file,width,height,aadb_score,aadb_relative_path,ava_mean_score,ava_vote_1,ava_dist_1,ava_vote_2,ava_dist_2,ava_vote_3,ava_dist_3,ava_vote_4,ava_dist_4,ava_vote_5,ava_dist_5,ava_vote_6,ava_dist_6,ava_vote_7,ava_dist_7,ava_vote_8,ava_dist_8,ava_vote_9,ava_dist_9,ava_vote_10,ava_dist_10
aadb__test__farm1_255_20177469516_e3ff699747_b.jpg__733d2adf,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_255_20177469516_e3ff699747_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_255_20177469516_e3ff699747_b.jpg,farm1_255_20177469516_e3ff699747_b.jpg,1024,902,0.9,farm1_255_20177469516_e3ff699747_b.jpg,,,,,,,,,,,,,,,,,,,,,
aadb__test__farm1_262_20009074919_cdd9c88d5f_b.jpg__460676f2,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_262_20009074919_cdd9c88d5f_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_262_20009074919_cdd9c88d5f_b.jpg,farm1_262_20009074919_cdd9c88d5f_b.jpg,1024,683,0.6,farm1_262_20009074919_cdd9c88d5f_b.jpg,,,,,,,,,,,,,,,,,,,,,
aadb__test__farm1_263_20166162696_d07210b2cd_b.jpg__3aef709f,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_263_20166162696_d07210b2cd_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_263_20166162696_d07210b2cd_b.jpg,farm1_263_20166162696_d07210b2cd_b.jpg,1024,768,0.3,farm1_263_20166162696_d07210b2cd_b.jpg,,,,,,,,,,,,,,,,,,,,,
aadb__test__farm1_265_20176633085_27e18a5955_b.jpg__347ead9d,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_265_20176633085_27e18a5955_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_265_20176633085_27e18a5955_b.jpg,farm1_265_20176633085_27e18a5955_b.jpg,1024,769,0.5,farm1_265_20176633085_27e18a5955_b.jpg,,,,,,,,,,,,,,,,,,,,,
aadb__test__farm1_267_20193145045_87cb15bb0a_b.jpg__9d607e82,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_267_20193145045_87cb15bb0a_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_267_20193145045_87cb15bb0a_b.jpg,farm1_267_20193145045_87cb15bb0a_b.jpg,1024,602,0.188,farm1_267_20193145045_87cb15bb0a_b.jpg,,,,,,,,,,,,,,,,,,,,,
aadb__test__farm1_268_20135840366_8ec3af1bf0_b.jpg__a09f22ff,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_268_20135840366_8ec3af1bf0_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_268_20135840366_8ec3af1bf0_b.jpg,farm1_268_20135840366_8ec3af1bf0_b.jpg,1024,683,0.85,farm1_268_20135840366_8ec3af1bf0_b.jpg,,,,,,,,,,,,,,,,,,,,,
aadb__test__farm1_269_19640488263_22fa55674e_b.jpg__f0703fec,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_269_19640488263_22fa55674e_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_269_19640488263_22fa55674e_b.jpg,farm1_269_19640488263_22fa55674e_b.jpg,1024,683,0.65,farm1_269_19640488263_22fa55674e_b.jpg,,,,,,,,,,,,,,,,,,,,,
aadb__test__farm1_269_20183798745_7e3d13cf7f_b.jpg__571339c5,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_269_20183798745_7e3d13cf7f_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_269_20183798745_7e3d13cf7f_b.jpg,farm1_269_20183798745_7e3d13cf7f_b.jpg,1024,683,0.5,farm1_269_20183798745_7e3d13cf7f_b.jpg,,,,,,,,,,,,,,,,,,,,,
aadb__test__farm1_283_19979042699_4f2cb1037d_b.jpg__0a13600d,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_283_19979042699_4f2cb1037d_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_283_19979042699_4f2cb1037d_b.jpg,farm1_283_19979042699_4f2cb1037d_b.jpg,1024,681,0.65,farm1_283_19979042699_4f2cb1037d_b.jpg,,,,,,,,,,,,,,,,,,,,,
aadb__test__farm1_285_20212938795_326abf07d9_b.jpg__5728a70b,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_285_20212938795_326abf07d9_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_285_20212938795_326abf07d9_b.jpg,farm1_285_20212938795_326abf07d9_b.jpg,1024,683,0.5,farm1_285_20212938795_326abf07d9_b.jpg,,,,,,,,,,,,,,,,,,,,,
aadb__test__farm1_286_19534239774_8587805ffb_b.jpg__01e3f5d0,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_286_19534239774_8587805ffb_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_286_19534239774_8587805ffb_b.jpg,farm1_286_19534239774_8587805ffb_b.jpg,1024,768,0.6,farm1_286_19534239774_8587805ffb_b.jpg,,,,,,,,,,,,,,,,,,,,,
aadb__test__farm1_286_19952746798_e3071f0e97_b.jpg__4645279f,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_286_19952746798_e3071f0e97_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_286_19952746798_e3071f0e97_b.jpg,farm1_286_19952746798_e3071f0e97_b.jpg,1024,768,0.4,farm1_286_19952746798_e3071f0e97_b.jpg,,,,,,,,,,,,,,,,,,,,,
aadb__test__farm1_288_19943225839_d4afcd8941_b.jpg__671c37a0,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_288_19943225839_d4afcd8941_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_288_19943225839_d4afcd8941_b.jpg,farm1_288_19943225839_d4afcd8941_b.jpg,683,1024,0.75,farm1_288_19943225839_d4afcd8941_b.jpg,,,,,,,,,,,,,,,,,,,,,
aadb__test__farm1_290_20288367841_c13b60a1a9_b.jpg__9efb2c76,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_290_20288367841_c13b60a1a9_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_290_20288367841_c13b60a1a9_b.jpg,farm1_290_20288367841_c13b60a1a9_b.jpg,1024,683,0.75,farm1_290_20288367841_c13b60a1a9_b.jpg,,,,,,,,,,,,,,,,,,,,,
aadb__test__farm1_291_19569799843_ab6d9d52cc_b.jpg__1217d903,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_291_19569799843_ab6d9d52cc_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_291_19569799843_ab6d9d52cc_b.jpg,farm1_291_19569799843_ab6d9d52cc_b.jpg,1024,683,0.15,farm1_291_19569799843_ab6d9d52cc_b.jpg,,,,,,,,,,,,,,,,,,,,,
aadb__test__farm1_292_19639235944_aa2fe401cc_b.jpg__f86044bb,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_292_19639235944_aa2fe401cc_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_292_19639235944_aa2fe401cc_b.jpg,farm1_292_19639235944_aa2fe401cc_b.jpg,1024,1024,0.55,farm1_292_19639235944_aa2fe401cc_b.jpg,,,,,,,,,,,,,,,,,,,,,
aadb__test__farm1_292_20113399322_a9144d46bb_b.jpg__c636423f,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_292_20113399322_a9144d46bb_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_292_20113399322_a9144d46bb_b.jpg,farm1_292_20113399322_a9144d46bb_b.jpg,768,1024,0.2,farm1_292_20113399322_a9144d46bb_b.jpg,,,,,,,,,,,,,,,,,,,,,
aadb__test__farm1_294_19548808114_3be4e22808_b.jpg__84dd2642,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_294_19548808114_3be4e22808_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_294_19548808114_3be4e22808_b.jpg,farm1_294_19548808114_3be4e22808_b.jpg,1024,683,0.2,farm1_294_19548808114_3be4e22808_b.jpg,,,,,,,,,,,,,,,,,,,,,
aadb__test__farm1_295_19992021018_8942aae89a_b.jpg__2c0b6caa,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_295_19992021018_8942aae89a_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_295_19992021018_8942aae89a_b.jpg,farm1_295_19992021018_8942aae89a_b.jpg,1024,865,0.65,farm1_295_19992021018_8942aae89a_b.jpg,,,,,,,,,,,,,,,,,,,,,
aadb__test__farm1_298_20088046700_372cdc9d3c_b.jpg__995c71c0,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_298_20088046700_372cdc9d3c_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_298_20088046700_372cdc9d3c_b.jpg,farm1_298_20088046700_372cdc9d3c_b.jpg,1024,683,1.0,farm1_298_20088046700_372cdc9d3c_b.jpg,,,,,,,,,,,,,,,,,,,,,
aadb__test__farm1_300_19545826794_59b9dc62e5_b.jpg__0a0fbeff,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_300_19545826794_59b9dc62e5_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_300_19545826794_59b9dc62e5_b.jpg,farm1_300_19545826794_59b9dc62e5_b.jpg,1024,768,0.3,farm1_300_19545826794_59b9dc62e5_b.jpg,,,,,,,,,,,,,,,,,,,,,
aadb__test__farm1_300_19950592360_1029d6f9d2_b.jpg__7297e874,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_300_19950592360_1029d6f9d2_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_300_19950592360_1029d6f9d2_b.jpg,farm1_300_19950592360_1029d6f9d2_b.jpg,1024,683,0.7,farm1_300_19950592360_1029d6f9d2_b.jpg,,,,,,,,,,,,,,,,,,,,,
aadb__test__farm1_300_19993605568_75daa95abd_b.jpg__2a6fe253,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_300_19993605568_75daa95abd_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_300_19993605568_75daa95abd_b.jpg,farm1_300_19993605568_75daa95abd_b.jpg,1024,683,0.9,farm1_300_19993605568_75daa95abd_b.jpg,,,,,,,,,,,,,,,,,,,,,
