id,dataset_source,source_split,source_metadata_csv,source_image_path,image_path,image_file,width,height,aadb_score,aadb_relative_path,ava_mean_score,ava_vote_1,ava_dist_1,ava_vote_2,ava_dist_2,ava_vote_3,ava_dist_3,ava_vote_4,ava_dist_4,ava_vote_5,ava_dist_5,ava_vote_6,ava_dist_6,ava_vote_7,ava_dist_7,ava_vote_8,ava_dist_8,ava_vote_9,ava_dist_9,ava_vote_10,ava_dist_10,nima_mean_score,nima_unit_score,rgnet_score,alamp_score,available_models,weighted_aesthetic_score,balanced_comparison_score,score_delta_primary_minus_comparison,rank_primary,rank_comparison,rank_delta_primary_minus_comparison,primary_rank_percentile,selection_bucket,selected
ava__train__684219.jpg__24e11dc9,ava,train,data/processed/ava/train.csv,data/raw/ava/images/684219.jpg,/home/omen_pc1/ava/images/684219.jpg,684219.jpg,720,553,,,5.819876,0.0,0.0,0.0,0.0,4.0,0.024845,11.0,0.068323,48.0,0.298137,62.0,0.385093,24.0,0.149068,7.0,0.043478,5.0,0.031056,0.0,0.0,6.177959,0.575329,0.837767,0.973774,"['alamp', 'nima', 'rgnet']",0.879527,0.852804,0.026723,1,1,0,0.0,selected_high,True
ava__test__103458.jpg__7dc649e0,ava,test,data/processed/ava/test.csv,data/raw/ava/images/103458.jpg,/home/omen_pc1/ava/images/103458.jpg,103458.jpg,640,507,,,6.289473,0.0,0.0,1.0,0.003759,8.0,0.030075,19.0,0.071429,56.0,0.210526,75.0,0.281955,49.0,0.184211,34.0,0.12782,14.0,0.052632,10.0,0.037594,5.853127,0.539236,0.774181,1.0,"['alamp', 'nima', 'rgnet']",0.863596,0.829267,0.034329,2,2,0,0.0003333333333333333,selected_high,True
ava__val__180527.jpg__bb5dcdc6,ava,val,data/processed/ava/val.csv,data/raw/ava/images/180527.jpg,/home/omen_pc1/ava/images/180527.jpg,180527.jpg,516,640,,,6.585366,0.0,0.0,0.0,0.0,4.0,0.019512,9.0,0.043902,35.0,0.170732,48.0,0.234146,56.0,0.273171,36.0,0.17561,11.0,0.053659,6.0,0.029268,6.262441,0.584716,0.761709,0.97158,"['alamp', 'nima', 'rgnet']",0.848945,0.819108,0.029837,3,4,-1,0.0006666666666666666,selected_high,True
ava__train__778210.jpg__a8d0bc09,ava,train,data/processed/ava/train.csv,data/raw/ava/images/778210.jpg,/home/omen_pc1/ava/images/778210.jpg,778210.jpg,720,545,,,6.289855,0.0,0.0,0.0,0.0,4.0,0.028986,2.0,0.014493,27.0,0.195652,44.0,0.318841,43.0,0.311594,14.0,0.101449,4.0,0.028986,0.0,0.0,6.162357,0.573595,0.824307,0.91844,"['alamp', 'nima', 'rgnet']",0.846302,0.824353,0.021949,4,3,1,0.001,selected_high,True
aadb__train__farm1_265_20005032130_9d30f7afd2_b.jpg__19020b8e,aadb,train,data/processed/aadb/train.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_265_20005032130_9d30f7afd2_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_265_20005032130_9d30f7afd2_b.jpg,farm1_265_20005032130_9d30f7afd2_b.jpg,1024,1024,0.95,farm1_265_20005032130_9d30f7afd2_b.jpg,,,,,,,,,,,,,,,,,,,,,,5.924069,0.547119,0.786295,0.945698,"['alamp', 'nima', 'rgnet']",0.842079,0.81418,0.027899,5,6,-1,0.0013333333333333333,selected_high,True
ava__val__298812.jpg__692ff589,ava,val,data/processed/ava/val.csv,data/raw/ava/images/298812.jpg,/home/omen_pc1/ava/images/298812.jpg,298812.jpg,640,427,,,5.555085,2.0,0.008475,6.0,0.025424,21.0,0.088983,37.0,0.15678,60.0,0.254237,44.0,0.186441,34.0,0.144068,13.0,0.055085,10.0,0.042373,9.0,0.038136,5.893397,0.543711,0.830868,0.897513,"['alamp', 'nima', 'rgnet']",0.835475,0.814452,0.021023,6,5,1,0.0016666666666666668,selected_high,True
ava__val__358718.jpg__8e4adea8,ava,val,data/processed/ava/val.csv,data/raw/ava/images/358718.jpg,/home/omen_pc1/ava/images/358718.jpg,358718.jpg,487,640,,,6.070797,0.0,0.0,0.0,0.0,2.0,0.00885,27.0,0.119469,57.0,0.252212,66.0,0.292035,36.0,0.159292,24.0,0.106195,7.0,0.030973,7.0,0.030973,6.001819,0.555758,0.80518,0.874693,"['alamp', 'nima', 'rgnet']",0.814994,0.795572,0.019422,7,7,0,0.002,selected_high,True
aadb__train__farm1_302_20101722541_43802ca756_b.jpg__fcc02f4e,aadb,train,data/processed/aadb/train.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_302_20101722541_43802ca756_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_302_20101722541_43802ca756_b.jpg,farm1_302_20101722541_43802ca756_b.jpg,1024,576,0.95,farm1_302_20101722541_43802ca756_b.jpg,,,,,,,,,,,,,,,,,,,,,,5.747869,0.527541,0.793361,0.87613,"['alamp', 'nima', 'rgnet']",0.808164,0.786596,0.021568,8,8,0,0.0023333333333333335,selected_high,True
ava__test__17514.jpg__e9a2beb7,ava,test,data/processed/ava/test.csv,data/raw/ava/images/17514.jpg,/home/omen_pc1/ava/images/17514.jpg,17514.jpg,500,477,,,5.028037,1.0,0.004673,12.0,0.056075,20.0,0.093458,49.0,0.228972,63.0,0.294393,30.0,0.140187,24.0,0.11215,8.0,0.037383,2.0,0.009346,5.0,0.023364,5.212444,0.468049,0.792137,0.888993,"['alamp', 'nima', 'rgnet']",0.808156,0.782266,0.02589,9,9,0,0.0026666666666666666,selected_high,True
ava__train__501650.jpg__7d820e71,ava,train,data/processed/ava/train.csv,data/raw/ava/images/501650.jpg,/home/omen_pc1/ava/images/501650.jpg,501650.jpg,640,450,,,5.377358,1.0,0.006289,1.0,0.006289,6.0,0.037736,23.0,0.144654,60.0,0.377358,46.0,0.289308,12.0,0.075472,8.0,0.050314,2.0,0.012579,0.0,0.0,6.21489,0.579432,0.728971,0.892708,"['alamp', 'nima', 'rgnet']",0.795886,0.772035,0.023851,10,12,-2,0.003,selected_high,True
