id,dataset_source,source_split,source_metadata_csv,source_image_path,image_path,image_file,width,height,aadb_score,aadb_relative_path,ava_mean_score,ava_vote_1,ava_dist_1,ava_vote_2,ava_dist_2,ava_vote_3,ava_dist_3,ava_vote_4,ava_dist_4,ava_vote_5,ava_dist_5,ava_vote_6,ava_dist_6,ava_vote_7,ava_dist_7,ava_vote_8,ava_dist_8,ava_vote_9,ava_dist_9,ava_vote_10,ava_dist_10,nima_mean_score,nima_unit_score,rgnet_score,alamp_score,available_models,weighted_aesthetic_score,balanced_comparison_score,score_delta_primary_minus_comparison,rank_primary,rank_comparison,rank_delta_primary_minus_comparison,primary_rank_percentile,selection_bucket,selected,teacher_subset_bucket,teacher_subset_id
aadb__val__farm1_474_20027389138_2f1107b868_b.jpg__a59d39dc,aadb,val,data/processed/aadb/val.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_474_20027389138_2f1107b868_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_474_20027389138_2f1107b868_b.jpg,farm1_474_20027389138_2f1107b868_b.jpg,678,1024,0.45,farm1_474_20027389138_2f1107b868_b.jpg,,,,,,,,,,,,,,,,,,,,,,5.348882,0.483209,0.315112,0.554256,"['alamp', 'nima', 'rgnet']",0.451494,0.435984,0.01551,2193,2458,-265,0.7306666666666667,rejected_low,False,rejected_low,teacher__0__aadb__farm1_474_20027389138_2f1107b868_b.jpg__0c57ad9e
aadb__train__farm1_353_20095467761_c375760394_b.jpg__142cb7ed,aadb,train,data/processed/aadb/train.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_353_20095467761_c375760394_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_353_20095467761_c375760394_b.jpg,farm1_353_20095467761_c375760394_b.jpg,1024,678,0.55,farm1_353_20095467761_c375760394_b.jpg,,,,,,,,,,,,,,,,,,,,,,5.436755,0.492973,0.547428,0.563107,"['alamp', 'nima', 'rgnet']",0.549822,0.545531,0.004291,811,850,-39,0.27,selected_high,True,selected_high,teacher__1__aadb__farm1_353_20095467761_c375760394_b.jpg__3848deea
ava__train__10183.jpg__dd4c8ced,ava,train,data/processed/ava/train.csv,data/raw/ava/images/10183.jpg,/home/omen_pc1/ava/images/10183.jpg,10183.jpg,445,640,,,5.153061,3.0,0.030612,4.0,0.040816,5.0,0.05102,22.0,0.22449,24.0,0.244898,20.0,0.204082,10.0,0.102041,9.0,0.091837,1.0,0.010204,0.0,0.0,6.132157,0.57024,0.499279,0.451615,"['alamp', 'nima', 'rgnet']",0.482543,0.490858,-0.008315,1667,1619,48,0.5553333333333333,middle_near_miss,False,middle_near_miss,teacher__2__ava__10183.jpg__99564622
ava__train__757187.jpg__15f9bde1,ava,train,data/processed/ava/train.csv,data/raw/ava/images/757187.jpg,/home/omen_pc1/ava/images/757187.jpg,757187.jpg,720,417,,,4.785047,4.0,0.018692,5.0,0.023364,21.0,0.098131,57.0,0.266355,72.0,0.336449,35.0,0.163551,13.0,0.060748,5.0,0.023364,2.0,0.009346,0.0,0.0,5.78413,0.53157,0.49333,0.499023,"['alamp', 'nima', 'rgnet']",0.5,0.501343,-0.001343,1442,1462,-20,0.4803333333333333,middle_near_miss,False,middle_near_miss,teacher__3__ava__757187.jpg__5975de81
ava__train__112278.jpg__9ac3a326,ava,train,data/processed/ava/train.csv,data/raw/ava/images/112278.jpg,/home/omen_pc1/ava/images/112278.jpg,112278.jpg,612,640,,,3.988095,12.0,0.047619,25.0,0.099206,49.0,0.194444,85.0,0.337302,53.0,0.210317,18.0,0.071429,3.0,0.011905,2.0,0.007937,4.0,0.015873,1.0,0.003968,5.598984,0.510998,0.517449,0.48992,"['alamp', 'nima', 'rgnet']",0.503039,0.50547,-0.002431,1387,1391,-4,0.462,middle_near_miss,False,middle_near_miss,teacher__4__ava__112278.jpg__848125f4
aadb__test__farm1_292_20113399322_a9144d46bb_b.jpg__c636423f,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_292_20113399322_a9144d46bb_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_292_20113399322_a9144d46bb_b.jpg,farm1_292_20113399322_a9144d46bb_b.jpg,768,1024,0.2,farm1_292_20113399322_a9144d46bb_b.jpg,,,,,,,,,,,,,,,,,,,,,,5.447901,0.494211,0.35929,0.32055,"['alamp', 'nima', 'rgnet']",0.353412,0.364032,-0.01062,2945,2941,4,0.9813333333333332,rejected_low,False,rejected_low,teacher__5__aadb__farm1_292_20113399322_a9144d46bb_b.jpg__938e1617
ava__train__457724.jpg__27de90b9,ava,train,data/processed/ava/train.csv,data/raw/ava/images/457724.jpg,/home/omen_pc1/ava/images/457724.jpg,457724.jpg,418,640,,,5.4,1.0,0.004444,3.0,0.013333,7.0,0.031111,44.0,0.195556,73.0,0.324444,51.0,0.226667,32.0,0.142222,11.0,0.048889,2.0,0.008889,1.0,0.004444,5.185229,0.465025,0.459794,0.376815,"['alamp', 'nima', 'rgnet']",0.418828,0.427387,-0.008559,2567,2558,9,0.8553333333333333,rejected_low,False,rejected_low,teacher__6__ava__457724.jpg__7639f7a7
ava__train__272648.jpg__8b60d8e8,ava,train,data/processed/ava/train.csv,data/raw/ava/images/272648.jpg,/home/omen_pc1/ava/images/272648.jpg,272648.jpg,640,294,,,5.962617,4.0,0.009346,7.0,0.016355,14.0,0.03271,50.0,0.116822,106.0,0.247664,102.0,0.238318,69.0,0.161215,38.0,0.088785,17.0,0.03972,21.0,0.049065,5.34047,0.482274,0.415037,0.452175,"['alamp', 'nima', 'rgnet']",0.44033,0.439978,0.000352,2329,2412,-83,0.776,rejected_low,False,rejected_low,teacher__7__ava__272648.jpg__c31e9fd9
aadb__test__farm1_354_20269637891_830acdc8fc_b.jpg__86ab8950,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_354_20269637891_830acdc8fc_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_354_20269637891_830acdc8fc_b.jpg,farm1_354_20269637891_830acdc8fc_b.jpg,1024,587,0.6,farm1_354_20269637891_830acdc8fc_b.jpg,,,,,,,,,,,,,,,,,,,,,,5.036907,0.448545,0.672786,0.497697,"['alamp', 'nima', 'rgnet']",0.562817,0.569114,-0.006297,680,612,68,0.2263333333333333,selected_high,True,selected_high,teacher__8__aadb__farm1_354_20269637891_830acdc8fc_b.jpg__8b66ef96
ava__train__489791.jpg__2bf40e64,ava,train,data/processed/ava/train.csv,data/raw/ava/images/489791.jpg,/home/omen_pc1/ava/images/489791.jpg,489791.jpg,600,453,,,4.780899,0.0,0.0,4.0,0.022472,15.0,0.08427,51.0,0.286517,71.0,0.398876,23.0,0.129213,12.0,0.067416,1.0,0.005618,1.0,0.005618,0.0,0.0,6.126863,0.569651,0.458767,0.400849,"['alamp', 'nima', 'rgnet']",0.440896,0.452232,-0.011336,2323,2256,67,0.774,rejected_low,False,rejected_low,teacher__9__ava__489791.jpg__a4bb9626
ava__train__772147.jpg__649344ee,ava,train,data/processed/ava/train.csv,data/raw/ava/images/772147.jpg,/home/omen_pc1/ava/images/772147.jpg,772147.jpg,449,720,,,5.52,3.0,0.006,5.0,0.01,16.0,0.032,54.0,0.108,169.0,0.338,161.0,0.322,68.0,0.136,21.0,0.042,2.0,0.004,1.0,0.002,6.076159,0.564018,0.460529,0.591174,"['alamp', 'nima', 'rgnet']",0.5362,0.52831,0.00789,934,1054,-120,0.311,middle_near_miss,False,middle_near_miss,teacher__10__ava__772147.jpg__00e6a1f1
ava__train__140804.jpg__0983f331,ava,train,data/processed/ava/train.csv,data/raw/ava/images/140804.jpg,/home/omen_pc1/ava/images/140804.jpg,140804.jpg,640,415,,,5.911894,0.0,0.0,2.0,0.008811,5.0,0.022026,30.0,0.132159,61.0,0.268722,60.0,0.264317,35.0,0.154185,18.0,0.079295,11.0,0.048458,5.0,0.022026,5.599026,0.511003,0.468587,0.427283,"['alamp', 'nima', 'rgnet']",0.452177,0.458428,-0.006251,2182,2168,14,0.727,rejected_low,False,rejected_low,teacher__11__ava__140804.jpg__a0f8455a
ava__train__339919.jpg__d3e6555b,ava,train,data/processed/ava/train.csv,data/raw/ava/images/339919.jpg,/home/omen_pc1/ava/images/339919.jpg,339919.jpg,640,466,,,6.248092,0.0,0.0,2.0,0.007634,3.0,0.01145,15.0,0.057252,60.0,0.229008,77.0,0.293893,58.0,0.221374,32.0,0.122137,10.0,0.038168,5.0,0.019084,5.656153,0.51735,0.390046,0.431517,"['alamp', 'nima', 'rgnet']",0.423512,0.42573,-0.002218,2518,2582,-64,0.839,rejected_low,False,rejected_low,teacher__12__ava__339919.jpg__cba8a43c
ava__train__111392.jpg__df8eb352,ava,train,data/processed/ava/train.csv,data/raw/ava/images/111392.jpg,/home/omen_pc1/ava/images/111392.jpg,111392.jpg,640,300,,,4.732601,2.0,0.007326,14.0,0.051282,33.0,0.120879,68.0,0.249084,89.0,0.326007,43.0,0.157509,10.0,0.03663,8.0,0.029304,6.0,0.021978,0.0,0.0,5.33032,0.481147,0.437111,0.328949,"['alamp', 'nima', 'rgnet']",0.387434,0.400452,-0.013018,2811,2786,25,0.9366666666666666,rejected_low,False,rejected_low,teacher__13__ava__111392.jpg__d2c8fe85
ava__train__252135.jpg__5e52b051,ava,train,data/processed/ava/train.csv,data/raw/ava/images/252135.jpg,/home/omen_pc1/ava/images/252135.jpg,252135.jpg,640,446,,,6.449275,6.0,0.021739,5.0,0.018116,6.0,0.021739,11.0,0.039855,46.0,0.166667,69.0,0.25,51.0,0.184783,49.0,0.177536,21.0,0.076087,12.0,0.043478,6.356925,0.595214,0.637733,0.787053,"['alamp', 'nima', 'rgnet']",0.708141,0.691083,0.017058,58,63,-5,0.019,selected_high,True,selected_high,teacher__14__ava__252135.jpg__065ca00b
ava__train__699705.jpg__457aa110,ava,train,data/processed/ava/train.csv,data/raw/ava/images/699705.jpg,/home/omen_pc1/ava/images/699705.jpg,699705.jpg,640,494,,,5.311111,2.0,0.011111,3.0,0.016667,5.0,0.027778,33.0,0.183333,64.0,0.355556,44.0,0.244444,20.0,0.111111,5.0,0.027778,3.0,0.016667,1.0,0.005556,5.731375,0.525708,0.689493,0.637176,"['alamp', 'nima', 'rgnet']",0.646956,0.643998,0.002958,176,159,17,0.0583333333333333,selected_high,True,selected_high,teacher__15__ava__699705.jpg__ea135814
ava__test__812121.jpg__8dd46be1,ava,test,data/processed/ava/test.csv,data/raw/ava/images/812121.jpg,/home/omen_pc1/ava/images/812121.jpg,812121.jpg,640,419,,,4.935897,0.0,0.0,7.0,0.044872,14.0,0.089744,34.0,0.217949,47.0,0.301282,40.0,0.25641,11.0,0.070513,1.0,0.00641,2.0,0.012821,0.0,0.0,5.959,0.551,0.680899,0.593484,"['alamp', 'nima', 'rgnet']",0.624202,0.626448,-0.002246,254,222,32,0.0843333333333333,selected_high,True,selected_high,teacher__16__ava__812121.jpg__b41893a5
ava__train__468537.jpg__0c322b57,ava,train,data/processed/ava/train.csv,data/raw/ava/images/468537.jpg,/home/omen_pc1/ava/images/468537.jpg,468537.jpg,418,620,,,5.446808,0.0,0.0,5.0,0.026596,6.0,0.031915,23.0,0.12234,72.0,0.382979,49.0,0.260638,17.0,0.090426,14.0,0.074468,1.0,0.005319,1.0,0.005319,5.931753,0.547973,0.477616,0.36861,"['alamp', 'nima', 'rgnet']",0.430149,0.444567,-0.014418,2447,2359,88,0.8153333333333334,rejected_low,False,rejected_low,teacher__17__ava__468537.jpg__5278d8a8
ava__train__912077.jpg__3f3f4a09,ava,train,data/processed/ava/train.csv,data/raw/ava/images/912077.jpg,/home/omen_pc1/ava/images/912077.jpg,912077.jpg,535,800,,,5.256,0.0,0.0,1.0,0.008,7.0,0.056,21.0,0.168,48.0,0.384,31.0,0.248,13.0,0.104,3.0,0.024,1.0,0.008,0.0,0.0,5.630537,0.514504,0.567627,0.369317,"['alamp', 'nima', 'rgnet']",0.46316,0.480335,-0.017175,1999,1789,210,0.666,middle_near_miss,False,middle_near_miss,teacher__18__ava__912077.jpg__bd56aa4f
