epoch,learning_rate,loss,mae,val_loss,val_mae
0,9.999999747378752e-05,0.02946578338742256,0.1360587626695633,0.023805422708392143,0.12159644812345505
1,9.699493966763839e-05,0.026247749105095863,0.127977192401886,0.024797668680548668,0.12525443732738495
2,9.397949179401621e-05,0.024822242558002472,0.12406779825687408,0.02516169287264347,0.12593954801559448
3,9.095326095120981e-05,0.02388695999979973,0.12190620601177216,0.02401677332818508,0.1210278794169426
4,8.79157887538895e-05,0.022911114618182182,0.11917609721422195,0.025632360950112343,0.12517458200454712
5,8.486661681672558e-05,0.021838955581188202,0.11638128012418747,0.022743061184883118,0.12037085741758347
6,8.180521399481222e-05,0.020651541650295258,0.11333194375038147,0.025935200974345207,0.12750041484832764
7,7.873102731537074e-05,0.0195858683437109,0.11006172001361847,0.025112394243478775,0.1263662427663803
8,7.564344559796154e-05,0.017983388155698776,0.10532326996326447,0.02645205147564411,0.13079571723937988
9,7.25417849025689e-05,0.016924506053328514,0.1022290363907814,0.025425985455513,0.12693744897842407
10,6.94253176334314e-05,0.01526219304651022,0.09704779088497162,0.024824952706694603,0.12428301572799683
11,6.629322160733864e-05,0.013909874483942986,0.09272178262472153,0.024536503478884697,0.12467355281114578
12,6.314458732958883e-05,0.012947164475917816,0.08921191841363907,0.024826744571328163,0.12550903856754303
13,5.9978403442073613e-05,0.011785069480538368,0.0850614458322525,0.02527698688209057,0.12750212848186493
