rank,base_rank,image_path,pre_pairwise_score,pairwise_rerank_applied,pairwise_rerank_delta,vila_score,vila_rerank_applied,vila_rerank_delta,base_score,final_score,aesthetic_component,technical_component,diversity_penalty,similarity_to_higher_ranked,most_similar_higher_ranked_image,reason_selected,acut_short_reason,acut_detailed_reason,acut_comparison_reason,acut_rejection_reason,acut_explanation_structured,vila_explanation,vila_explanation_signals,missing_models,selector_notes,similarity_components_to_higher_ranked,per_model_scores,vila_prompt_scores
1,1,test_samples/KakaoTalk_20260330_180646779_10.jpg,0.5834268238687516,False,0.0,,False,0.0,0.5834268238687516,0.5834268238687516,0.5674366182088851,0.6074121323585511,0.0,,,Selected directly from the base ranking because diversity control was disabled.,,,,,null,,null,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Diversity control disabled; final ranking follows the base selector score.""]",null,"{""aadb_score"": 0.5771484375, ""koniq_score"": 43.0, ""flive_image_score"": 72.5, ""flive_patch_mean"": 72.1500015258789, ""flive_patch_min"": 69.6875, ""nima_mean_score"": 5.863723278045654, ""alamp_score"": 0.683292806148529, ""musiq_score"": 0.5345712900161743, ""rgnet_score"": 0.479839950799942, ""pairwise_recovered_score"": 0.4930019974708557, ""baseline_final_score"": 0.5914445343017578}",null
2,2,test_samples/KakaoTalk_20260330_180646779_12.jpg,0.567432733411789,False,0.0,,False,0.0,0.567432733411789,0.567432733411789,0.5599711708227795,0.5786250772953032,0.0,,,Selected directly from the base ranking because diversity control was disabled.,,,,,null,,null,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Diversity control disabled; final ranking follows the base selector score.""]",null,"{""aadb_score"": 0.5712890625, ""koniq_score"": 36.09375, ""flive_image_score"": 69.0, ""flive_patch_mean"": 72.0999984741211, ""flive_patch_min"": 71.4375, ""nima_mean_score"": 5.750278949737549, ""alamp_score"": 0.651772677898407, ""musiq_score"": 0.5318008065223694, ""rgnet_score"": 0.5028127431869507, ""pairwise_recovered_score"": 0.4929980635643005, ""baseline_final_score"": 0.5618679656982422}",null
3,3,test_samples/KakaoTalk_20260330_180646779_07.jpg,0.5511736762952805,False,0.0,,False,0.0,0.5511736762952805,0.5511736762952805,0.5240007581313452,0.5919330535411835,0.0,,,Selected directly from the base ranking because diversity control was disabled.,,,,,null,,null,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Diversity control disabled; final ranking follows the base selector score.""]",null,"{""aadb_score"": 0.513671875, ""koniq_score"": 39.90625, ""flive_image_score"": 70.6875, ""flive_patch_mean"": 71.86250305175781, ""flive_patch_min"": 70.3125, ""nima_mean_score"": 5.825069904327393, ""alamp_score"": 0.5595348477363586, ""musiq_score"": 0.5211054682731628, ""rgnet_score"": 0.4942569434642792, ""pairwise_recovered_score"": 0.493002325296402, ""baseline_final_score"": 0.5589203186035157}",null
4,4,test_samples/KakaoTalk_20260330_180646779_11.jpg,0.5497896788263321,False,0.0,,False,0.0,0.5497896788263321,0.5497896788263321,0.5011513775587082,0.6227471307277679,0.0,,,Selected directly from the base ranking because diversity control was disabled.,,,,,null,,null,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Diversity control disabled; final ranking follows the base selector score.""]",null,"{""aadb_score"": 0.54931640625, ""koniq_score"": 48.21875, ""flive_image_score"": 72.1875, ""flive_patch_mean"": 72.5625, ""flive_patch_min"": 69.5625, ""nima_mean_score"": 5.901391506195068, ""alamp_score"": 0.4378479421138763, ""musiq_score"": 0.5208463072776794, ""rgnet_score"": 0.4492843747138977, ""pairwise_recovered_score"": 0.4930159449577331, ""baseline_final_score"": 0.598951171875}",null
5,5,test_samples/KakaoTalk_20260330_180646779_08.jpg,0.5291552269935607,False,0.0,,False,0.0,0.5291552269935607,0.5291552269935607,0.5128129104773202,0.5536687017679215,0.0,,,Selected directly from the base ranking because diversity control was disabled.,,,,,null,,null,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Diversity control disabled; final ranking follows the base selector score.""]",null,"{""aadb_score"": 0.5322265625, ""koniq_score"": 35.375, ""flive_image_score"": 63.40625, ""flive_patch_mean"": 71.0374984741211, ""flive_patch_min"": 69.9375, ""nima_mean_score"": 5.612595081329346, ""alamp_score"": 0.526892364025116, ""musiq_score"": 0.4808620512485504, ""rgnet_score"": 0.474610686302185, ""pairwise_recovered_score"": 0.4930086731910705, ""baseline_final_score"": 0.5346804656982422}",null
6,6,test_samples/KakaoTalk_20260330_180646779_13.jpg,0.5282199292659759,False,0.0,,False,0.0,0.5282199292659759,0.5282199292659759,0.5139848053455353,0.5495726151466369,0.0,,,Selected directly from the base ranking because diversity control was disabled.,,,,,null,,null,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Diversity control disabled; final ranking follows the base selector score.""]",null,"{""aadb_score"": 0.50048828125, ""koniq_score"": 32.5625, ""flive_image_score"": 62.9375, ""flive_patch_mean"": 72.7874984741211, ""flive_patch_min"": 71.0, ""nima_mean_score"": 5.973155975341797, ""alamp_score"": 0.506681501865387, ""musiq_score"": 0.4899011850357055, ""rgnet_score"": 0.5017795562744141, ""pairwise_recovered_score"": 0.4930042922496795, ""baseline_final_score"": 0.5192839813232422}",null
7,7,test_samples/KakaoTalk_20260330_180646779.jpg,0.5147630722427368,False,0.0,,False,0.0,0.5147630722427368,0.5147630722427368,0.47573404947916664,0.5733066063880919,0.0,,,Selected directly from the base ranking because diversity control was disabled.,,,,,null,,null,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Diversity control disabled; final ranking follows the base selector score.""]",null,"{""aadb_score"": 0.490478515625, ""koniq_score"": 38.625, ""flive_image_score"": 66.0625, ""flive_patch_mean"": 71.7125015258789, ""flive_patch_min"": 68.9375, ""nima_mean_score"": 5.466753005981445, ""alamp_score"": 0.4759086370468139, ""musiq_score"": 0.5066410303115845, ""rgnet_score"": 0.4174799919128418, ""pairwise_recovered_score"": 0.4930044114589691, ""baseline_final_score"": 0.5385685577392578}",null
8,8,test_samples/KakaoTalk_20260330_180646779_02.jpg,0.5015676214790344,False,0.0,,False,0.0,0.5015676214790344,0.5015676214790344,0.4691294519106547,0.550224875831604,0.0,,,Selected directly from the base ranking because diversity control was disabled.,,,,,null,,null,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Diversity control disabled; final ranking follows the base selector score.""]",null,"{""aadb_score"": 0.491455078125, ""koniq_score"": 32.0, ""flive_image_score"": 65.3125, ""flive_patch_mean"": 71.6500015258789, ""flive_patch_min"": 69.25, ""nima_mean_score"": 5.503718852996826, ""alamp_score"": 0.4598216116428375, ""musiq_score"": 0.5034487247467041, ""rgnet_score"": 0.3934526741504669, ""pairwise_recovered_score"": 0.4930078089237213, ""baseline_final_score"": 0.5173615264892578}",null
9,9,test_samples/KakaoTalk_20260330_180646779_01.jpg,0.4973280131292343,False,0.0,,False,0.0,0.4973280131292343,0.4973280131292343,0.468432132601738,0.5406718339204788,0.0,,,Selected directly from the base ranking because diversity control was disabled.,,,,,null,,null,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Diversity control disabled; final ranking follows the base selector score.""]",null,"{""aadb_score"": 0.498046875, ""koniq_score"": 31.5, ""flive_image_score"": 63.71875, ""flive_patch_mean"": 70.4124984741211, ""flive_patch_min"": 69.375, ""nima_mean_score"": 5.520922660827637, ""alamp_score"": 0.4418400526046753, ""musiq_score"": 0.4878933727741241, ""rgnet_score"": 0.3987533748149872, ""pairwise_recovered_score"": 0.4930081367492676, ""baseline_final_score"": 0.5121765594482423}",null
10,10,test_samples/KakaoTalk_20260330_180646779_06.jpg,0.4932599264621734,False,0.0,,False,0.0,0.4932599264621734,0.4932599264621734,0.4410720443725586,0.5715417495965958,0.0,,,Selected directly from the base ranking because diversity control was disabled.,,,,,null,,null,[],"[""Final score mixes aesthetic and technical components with default project weights."", ""Diversity control disabled; final ranking follows the base selector score.""]",null,"{""aadb_score"": 0.427978515625, ""koniq_score"": 37.65625, ""flive_image_score"": 67.125, ""flive_patch_mean"": 71.6875, ""flive_patch_min"": 69.375, ""nima_mean_score"": 5.268690586090088, ""alamp_score"": 0.4345931112766266, ""musiq_score"": 0.4897924959659576, ""rgnet_score"": 0.4019743502140045, ""pairwise_recovered_score"": 0.4930055439472198, ""baseline_final_score"": 0.5189873046875}",null
